<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240101;124500;77.08;77.08;77.08;77.08;1
240102;020000;77.08;77.08;77.08;77.08;1
240102;034500;77.08;77.08;77.08;77.08;15
240102;040000;77.08;78.47;77.08;78.3;4429
240102;041500;78.3;78.37;77.87;78.07;1972
240102;043000;78.07;78.1;77.89;78.03;751
240102;044500;78.03;78.11;77.93;77.97;808
240102;050000;77.97;78.13;77.97;78.12;704
240102;051500;78.11;78.11;78.06;78.07;128
240102;053000;78.08;78.36;78.08;78.33;1388
240102;054500;78.33;78.34;78.19;78.25;1003
240102;060000;78.25;78.46;78.25;78.42;1536
240102;061500;78.43;78.45;78.3;78.31;1038
240102;063000;78.3;78.33;78.25;78.32;113
240102;064500;78.32;78.33;78.24;78.29;222
240102;070000;78.3;78.3;78.23;78.28;85
240102;071500;78.27;78.28;78.22;78.24;118
240102;073000;78.25;78.3;78.23;78.3;25
240102;074500;78.29;78.4;78.27;78.39;284
240102;080000;78.39;78.45;78.39;78.45;81
240102;081500;78.44;78.45;78.4;78.41;114
240102;083000;78.42;78.43;78.32;78.39;1020
240102;084500;78.39;78.56;78.37;78.52;811
240102;090000;78.53;78.6;78.46;78.57;810
240102;091500;78.56;78.61;78.51;78.6;641
240102;093000;78.59;78.63;78.53;78.59;1150
240102;094500;78.6;78.64;78.52;78.55;1109
240102;100000;78.57;78.58;78.44;78.45;940
240102;101500;78.47;78.55;78.4;78.54;1432
240102;103000;78.56;78.56;78.25;78.27;1578
240102;104500;78.28;78.34;78.25;78.29;869
240102;110000;78.28;78.5;78.14;78.21;4522
240102;111500;78.21;78.25;78.04;78.2;8623
240102;113000;78.2;78.39;78.02;78.31;7673
240102;114500;78.33;78.54;78.32;78.47;2567
240102;120000;78.46;78.55;78.31;78.34;4435
240102;121500;78.34;78.7;78.32;78.63;3830
240102;123000;78.63;78.7;78.44;78.47;2379
240102;124500;78.47;78.7;78.38;78.64;4255
240102;130000;78.65;79.02;78.63;78.96;5778
240102;131500;78.96;78.98;78.79;78.82;3293
240102;133000;78.83;78.99;78.8;78.97;2554
240102;134500;78.97;79.03;78.91;79;2013
240102;140000;79;79.06;78.73;78.76;3415
240102;141500;78.76;78.85;78.68;78.74;3611
240102;143000;78.73;78.74;78.54;78.68;2730
240102;144500;78.69;78.77;78.62;78.74;2667
240102;150000;78.74;78.89;78.66;78.87;1700
240102;151500;78.89;78.91;78.75;78.79;2457
240102;153000;78.79;78.82;78.38;78.43;4659
240102;154500;78.43;78.69;78.43;78.57;2539
240102;160000;78.59;78.99;78.34;78.53;6661
240102;161500;78.54;78.71;78.5;78.53;2927
240102;163000;78.52;78.84;78.48;78.78;4554
240102;164500;78.8;79.03;78.67;78.92;5590
