<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZA;30;231101;100000;995.0000000;1002.5000000;995.0000000;1002.5000000;80
GAZA;30;231101;103000;1002.5000000;1008.5000000;1002.0000000;1007.5000000;130
GAZA;30;231101;110000;1007.5000000;1007.5000000;1001.0000000;1007.5000000;30
GAZA;30;231101;113000;1001.5000000;1006.5000000;1000.5000000;1006.5000000;70
GAZA;30;231101;120000;1007.0000000;1007.0000000;1007.0000000;1007.0000000;10
GAZA;30;231101;123000;1002.5000000;1006.0000000;1002.5000000;1006.0000000;20
GAZA;30;231101;130000;1002.0000000;1002.0000000;1001.5000000;1001.5000000;30
GAZA;30;231101;133000;1001.5000000;1001.5000000;1001.5000000;1001.5000000;20
GAZA;30;231101;140000;1001.5000000;1001.5000000;1000.0000000;1000.5000000;80
GAZA;30;231101;143000;1005.0000000;1005.0000000;997.0000000;997.0000000;160
GAZA;30;231101;153000;1003.0000000;1007.0000000;1003.0000000;1007.0000000;150
GAZA;30;231101;163000;1004.5000000;1004.5000000;1004.5000000;1004.5000000;10
GAZA;30;231101;170000;1004.0000000;1004.0000000;1004.0000000;1004.0000000;10
GAZA;30;231101;173000;1006.5000000;1035.0000000;1006.5000000;1035.0000000;880
GAZA;30;231101;180000;1034.5000000;1034.5000000;1019.5000000;1019.5000000;30
GAZA;30;231101;183000;1020.0000000;1020.5000000;1020.0000000;1020.5000000;20
GAZA;30;231102;100000;1035.0000000;1045.0000000;1020.5000000;1029.5000000;410
GAZA;30;231102;103000;1039.0000000;1060.0000000;1032.0000000;1035.5000000;910
GAZA;30;231102;110000;1035.5000000;1095.5000000;1035.5000000;1066.0000000;2190
GAZA;30;231102;113000;1065.0000000;1088.0000000;1050.0000000;1084.5000000;1280
GAZA;30;231102;120000;1074.0000000;1084.0000000;1050.0000000;1052.5000000;1350
GAZA;30;231102;123000;1051.0000000;1051.0000000;1040.5000000;1040.5000000;180
GAZA;30;231102;130000;1040.5000000;1040.5000000;1036.5000000;1036.5000000;150
GAZA;30;231102;133000;1036.0000000;1049.0000000;1036.0000000;1045.5000000;200
GAZA;30;231102;140000;1038.5000000;1041.5000000;1033.5000000;1041.5000000;140
GAZA;30;231102;143000;1041.0000000;1041.0000000;1038.0000000;1038.0000000;20
