<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240103;100000;159.73;160.73;159.73;160.67;824940
240103;101500;160.65;161.18;160.53;161.04;741280
240103;103000;161.04;161.23;161.02;161.17;426740
240103;104500;161.16;161.35;161.15;161.21;445390
240103;110000;161.22;161.25;161;161;243150
240103;111500;161.01;161.08;160.9;161.02;163760
240103;113000;161.03;161.12;161;161.1;131310
240103;114500;161.1;161.3;161;161.14;277460
240103;120000;161.14;161.14;160.92;160.95;145920
240103;121500;160.95;160.95;160.82;160.91;165550
240103;123000;160.92;160.92;160.9;160.92;63720
240103;124500;160.92;161.22;160.89;161.18;197360
240103;130000;161.18;161.58;161.18;161.46;479720
240103;131500;161.46;161.51;161.21;161.42;144840
240103;133000;161.42;161.43;161.27;161.27;71750
240103;134500;161.29;161.32;161.18;161.23;67130
240103;140000;161.23;161.24;161.06;161.2;112040
240103;141500;161.2;161.3;161.15;161.19;113360
240103;143000;161.18;161.23;161.14;161.16;68480
240103;144500;161.15;161.18;160.76;161.01;310280
240103;150000;161.01;161.23;160.99;161.17;111360
240103;151500;161.16;161.2;161.15;161.18;95540
240103;153000;161.17;161.19;161.04;161.14;84740
240103;154500;161.14;161.2;161.04;161.16;44280
240103;160000;161.16;161.17;161.03;161.1;33910
240103;161500;161.11;161.11;161;161.01;72600
240103;163000;161;161.19;161;161.12;76360
240103;164500;161.12;161.13;161;161.02;88060
240103;170000;161.02;161.16;161;161.12;57810
240103;171500;161.11;161.18;161.08;161.15;55470
240103;173000;161.16;161.18;161.11;161.16;34720
240103;174500;161.17;161.4;161.17;161.39;112590
240103;180000;161.39;161.4;161.06;161.21;302990
240103;181500;161.22;161.26;161.07;161.14;99290
240103;183000;161.13;161.29;161.11;161.21;88270
240103;184500;161.38;161.38;161.38;161.38;208060
240103;190000;161.36;161.36;161.21;161.29;42790
240103;191500;161.29;161.32;161.29;161.31;41010
240103;193000;161.31;161.31;161.25;161.28;46740
240103;194500;161.29;161.29;161.09;161.2;61810
240103;200000;161.21;161.21;161.05;161.06;180860
240103;201500;161.07;161.08;161.05;161.08;112710
240103;203000;161.07;161.14;161.04;161.05;58700
240103;204500;161.05;161.15;161.04;161.15;68400
240103;210000;161.15;161.16;161.12;161.16;17400
240103;211500;161.16;161.16;161.07;161.14;42900
240103;213000;161.14;161.18;161.06;161.1;96730
240103;214500;161.11;161.2;161.08;161.17;52800
240103;220000;161.16;161.2;161.14;161.2;22990
240103;221500;161.2;161.27;161.18;161.27;64640
240103;223000;161.27;161.3;161.27;161.29;30480
240103;224500;161.29;161.3;161.28;161.3;47680
240103;230000;161.3;161.49;161.29;161.46;177500
240103;231500;161.45;161.46;161.35;161.35;42520
240103;233000;161.37;161.42;161.35;161.38;61660
240103;234500;161.38;161.44;161.3;161.44;49620
240104;100000;161.51;161.64;161.04;161.35;480300
240104;101500;161.38;161.4;161.18;161.36;129130
240104;103000;161.35;161.35;161.03;161.08;285540
240104;104500;161.08;161.19;161;161.18;260570
240104;110000;161.17;161.17;161.08;161.15;80050
240104;111500;161.17;161.22;161.1;161.15;125090
240104;113000;161.13;161.13;161.05;161.06;69500
240104;114500;161.05;161.25;161.03;161.19;138210
240104;120000;161.2;161.38;161.19;161.33;126990
240104;121500;161.33;161.36;161.17;161.17;105790
240104;123000;161.19;161.39;161.19;161.29;111110
240104;124500;161.29;161.29;161.11;161.12;89920
240104;130000;161.11;161.17;161.01;161.14;210790
240104;131500;161.11;161.22;161.09;161.11;76770
240104;133000;161.11;161.26;161.1;161.26;27320
240104;134500;161.26;161.28;161.13;161.14;64850
240104;140000;161.14;161.28;161.14;161.22;38180
240104;141500;161.23;161.27;161.14;161.21;66080
240104;143000;161.2;161.32;161.19;161.29;46540
240104;144500;161.28;161.37;161.25;161.36;72730
240104;150000;161.34;161.39;161.27;161.29;87050
240104;151500;161.29;161.39;161.28;161.35;48700
240104;153000;161.35;161.38;161.28;161.32;61340
240104;154500;161.31;161.41;161.3;161.41;75880
240104;160000;161.39;161.4;161.06;161.22;308150
240104;161500;161.25;161.35;161.18;161.31;41230
240104;163000;161.33;161.34;161.3;161.33;103300
240104;164500;161.34;161.44;161.32;161.4;194510
240104;170000;161.4;161.4;161.3;161.3;64830
240104;171500;161.31;161.35;161.3;161.33;84320
240104;173000;161.33;161.4;161.3;161.34;58460
240104;174500;161.34;161.42;161.3;161.33;84390
240104;180000;161.33;161.42;161.32;161.4;61110
240104;181500;161.39;161.39;161.19;161.21;76460
240104;183000;161.21;161.28;161.18;161.19;61020
240104;184500;161.19;161.19;161.19;161.19;68650
240104;190000;161.1;161.31;161.06;161.16;88070
240104;191500;161.16;161.27;161.13;161.21;53180
240104;193000;161.21;161.24;161.16;161.17;23510
240104;194500;161.17;161.22;161.14;161.16;36550
240104;200000;161.21;161.21;161.1;161.15;40890
240104;201500;161.17;161.22;161.12;161.14;42300
240104;203000;161.14;161.2;161.13;161.18;32340
240104;204500;161.2;161.23;161.14;161.18;21680
240104;210000;161.18;161.29;161.14;161.2;30420
240104;211500;161.2;161.23;161.12;161.23;28390
240104;213000;161.23;161.23;161.13;161.2;27130
240104;214500;161.2;161.23;161.13;161.22;35040
240104;220000;161.23;161.29;161.21;161.25;92780
240104;221500;161.27;161.29;161.16;161.17;18920
240104;223000;161.17;161.28;161.16;161.21;27030
240104;224500;161.2;161.25;161.17;161.25;12860
240104;230000;161.25;161.27;161.17;161.26;27850
240104;231500;161.22;161.26;161.18;161.22;30930
240104;233000;161.21;161.25;161.1;161.1;53540
240104;234500;161.16;161.26;161.07;161.25;51710
240105;100000;161.22;161.5;161.07;161.19;273830
240105;101500;161.19;161.36;161.1;161.32;122240
240105;103000;161.32;161.89;161.31;161.69;929350
240105;104500;161.7;161.74;161.54;161.66;290720
240105;110000;161.67;161.74;161.2;161.21;291400
240105;111500;161.2;161.29;161.11;161.28;208110
240105;113000;161.28;161.29;161.21;161.26;84540
240105;114500;161.27;161.42;161.25;161.37;101100
240105;120000;161.37;161.4;161.29;161.38;77460
240105;121500;161.38;161.4;161.31;161.39;49130
240105;123000;161.39;161.4;161.28;161.31;60570
240105;124500;161.31;161.34;161.28;161.31;63660
240105;130000;161.34;161.42;161.3;161.36;80920
240105;131500;161.36;161.45;161.18;161.36;473800
240105;133000;161.34;161.43;161.29;161.38;71930
240105;134500;161.39;161.4;161.35;161.38;41810
240105;140000;161.37;161.67;161.37;161.55;202760
240105;141500;161.55;161.8;161.54;161.65;306880
240105;143000;161.63;161.68;161.55;161.68;151130
240105;144500;161.68;161.71;161.47;161.48;108390
240105;150000;161.47;161.5;161.27;161.5;168520
240105;151500;161.49;161.61;161.49;161.55;106030
240105;153000;161.56;161.65;161.51;161.57;50430
240105;154500;161.57;161.65;161.56;161.61;68160
240105;160000;161.64;161.77;161.58;161.72;211500
240105;161500;161.71;161.8;161.6;161.61;274280
240105;163000;161.61;161.62;161.4;161.46;154510
240105;164500;161.46;161.56;161.4;161.55;68400
240105;170000;161.55;161.67;161.45;161.62;81990
240105;171500;161.62;162.2;161.61;162;614210
240105;173000;162;162.18;161.92;162.02;349320
240105;174500;162;162.3;161.92;162.23;477850
240105;180000;162.24;162.25;161.9;162.06;335480
240105;181500;162.06;162.15;162;162.1;117040
240105;183000;162.1;162.11;161.98;162.01;109580
240105;184500;162.1;162.1;162.1;162.1;43940
240105;190000;161.8;162.11;161.8;162.05;152170
240105;191500;162.05;162.1;161.96;161.98;65420
240105;193000;161.98;162.03;161.95;162;139170
240105;194500;162;162.05;162;162;58850
240105;200000;162.01;162.1;162;162.03;61630
240105;201500;162.08;162.1;162;162.01;58590
240105;203000;162.01;162.02;161.89;161.96;62390
240105;204500;161.94;162.12;161.94;162.1;106720
240105;210000;162.05;162.09;161.98;162.06;33830
240105;211500;162.05;162.06;161.95;161.99;24870
240105;213000;161.99;161.99;161.93;161.97;59280
240105;214500;161.96;161.99;161.9;161.9;31410
240105;220000;161.92;161.94;161.75;161.75;157330
240105;221500;161.75;161.89;161.73;161.87;95120
240105;223000;161.88;161.88;161.74;161.8;26020
240105;224500;161.76;161.81;161.72;161.76;55550
240105;230000;161.77;161.95;161.77;161.9;66400
240105;231500;161.9;161.97;161.88;161.94;51280
240105;233000;161.93;161.94;161.74;161.8;113190
240105;234500;161.81;161.99;161.8;161.94;133040
240108;100000;162.43;162.63;162.15;162.61;800340
240108;101500;162.61;163.2;162.6;163;1198450
240108;103000;163.01;163.19;162.86;163.02;547700
240108;104500;163.02;163.2;163;163.19;342040
240108;110000;163.2;163.2;163;163.03;430310
240108;111500;163.03;163.11;162.9;162.91;342260
240108;113000;162.9;163.01;162.83;162.97;202380
240108;114500;163;163.1;162.92;162.98;196670
240108;120000;162.98;162.98;162.65;162.7;439230
240108;121500;162.7;162.81;162.6;162.75;163640
240108;123000;162.75;162.91;162.63;162.78;196620
240108;124500;162.78;162.85;162.7;162.8;154660
240108;130000;162.8;162.85;162.72;162.77;150760
240108;131500;162.78;162.82;162.73;162.75;75100
240108;133000;162.75;162.83;162.72;162.82;111370
240108;134500;162.82;162.84;162.68;162.84;158570
240108;140000;162.84;162.89;162.7;162.88;239990
240108;141500;162.88;163.07;162.84;163.06;202310
240108;143000;163.06;163.19;163.01;163.09;238280
240108;144500;163.09;163.1;162.99;163.03;199760
240108;150000;163.03;163.14;163;163.11;140210
240108;151500;163.1;163.14;162.99;163.03;174820
240108;153000;163.02;163.03;162.93;162.98;100140
240108;154500;162.98;163.05;162.93;163;51320
240108;160000;162.99;163.01;162;162.53;1463180
240108;161500;162.53;162.66;162.51;162.64;253110
240108;163000;162.64;162.83;162.63;162.75;206280
240108;164500;162.75;162.75;162.53;162.58;94630
240108;170000;162.58;162.58;162.52;162.54;92160
240108;171500;162.53;162.54;162.31;162.47;145250
240108;173000;162.48;162.68;162.32;162.67;130860
240108;174500;162.67;162.94;162.55;162.93;198800
240108;180000;162.93;162.94;162.65;162.7;196240
240108;181500;162.66;162.91;162.62;162.91;141470
240108;183000;162.9;162.9;162.66;162.7;44830
240108;184500;163;163;163;163;327590
240108;190000;163;163;162.81;162.86;41900
240108;191500;162.87;162.87;162.68;162.8;67700
240108;193000;162.8;162.9;162.73;162.77;95450
240108;194500;162.77;162.87;162.73;162.8;28710
240108;200000;162.82;162.96;162.8;162.92;82140
240108;201500;162.91;162.97;162.9;162.97;30820
240108;203000;162.97;162.97;162.86;162.87;31040
240108;204500;162.86;162.91;162.68;162.69;82010
240108;210000;162.69;162.81;162.67;162.81;37670
240108;211500;162.81;162.81;162.78;162.79;8310
240108;213000;162.79;162.84;162.72;162.83;32650
240108;214500;162.84;162.85;162.77;162.78;21270
240108;220000;162.78;162.86;162.75;162.8;35640
240108;221500;162.77;162.85;162.75;162.85;34180
240108;223000;162.85;162.94;162.8;162.85;38970
240108;224500;162.85;162.95;162.85;162.93;33170
240108;230000;162.95;162.97;162.89;162.97;79560
240108;231500;162.97;163;162.92;162.97;67980
240108;233000;162.98;162.98;162.87;162.91;46200
