<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240103;100000;16164;16264;16140;16208;4738
240103;101500;16212;16220;16194;16220;1125
240103;103000;16220;16226;16204;16208;587
240103;104500;16208;16242;16206;16230;889
240103;110000;16228;16240;16228;16236;996
240103;111500;16232;16246;16230;16240;754
240103;113000;16240;16250;16234;16250;834
240103;114500;16244;16260;16242;16246;1234
240103;120000;16248;16258;16230;16236;716
240103;121500;16236;16256;16232;16242;311
240103;123000;16242;16256;16238;16250;380
240103;124500;16246;16252;16244;16248;249
240103;130000;16248;16252;16244;16244;516
240103;131500;16246;16252;16244;16246;322
240103;133000;16248;16252;16246;16250;204
240103;134500;16250;16252;16244;16248;448
240103;140000;16248;16250;16244;16250;246
240103;141500;16248;16250;16248;16248;293
240103;143000;16250;16298;16248;16294;2720
240103;144500;16294;16296;16272;16284;429
240103;150000;16286;16300;16282;16296;563
240103;151500;16298;16298;16288;16292;238
240103;153000;16290;16292;16284;16288;262
240103;154500;16290;16290;16284;16288;139
240103;160000;16288;16288;16270;16272;319
240103;161500;16274;16278;16258;16262;381
240103;163000;16262;16280;16256;16272;492
240103;164500;16276;16280;16268;16274;222
240103;170000;16270;16282;16268;16280;143
240103;171500;16282;16288;16278;16280;202
240103;173000;16280;16282;16274;16276;173
240103;174500;16278;16286;16278;16286;295
240103;180000;16286;16300;16286;16296;820
240103;181500;16296;16296;16270;16278;568
240103;183000;16272;16292;16270;16288;453
240103;184500;16356;16356;16356;16356;4909
240103;190000;16340;16356;16334;16340;1289
240103;191500;16338;16344;16334;16338;504
240103;193000;16338;16342;16338;16338;309
240103;194500;16338;16344;16338;16342;246
240103;200000;16344;16344;16342;16342;302
240103;201500;16344;16348;16342;16346;252
240103;203000;16348;16350;16346;16346;208
240103;204500;16346;16348;16342;16346;261
240103;210000;16344;16346;16344;16346;110
240103;211500;16344;16346;16344;16346;159
240103;213000;16346;16348;16344;16348;116
240103;214500;16344;16350;16344;16344;171
240103;220000;16348;16350;16344;16348;327
240103;221500;16348;16350;16344;16346;104
240103;223000;16348;16362;16348;16356;897
240103;224500;16356;16362;16356;16362;223
240103;230000;16360;16366;16358;16360;91
240103;231500;16358;16370;16358;16364;141
240103;233000;16364;16368;16360;16366;232
240103;234500;16364;16366;16356;16356;89
240104;100000;16362;16384;16350;16364;2173
240104;101500;16364;16394;16352;16380;1201
240104;103000;16380;16390;16362;16370;909
240104;104500;16370;16372;16360;16362;418
240104;110000;16362;16368;16360;16362;434
240104;111500;16362;16368;16352;16366;765
240104;113000;16364;16372;16356;16370;1119
240104;114500;16364;16380;16364;16372;903
240104;120000;16372;16374;16368;16368;302
240104;121500;16370;16370;16316;16316;3103
240104;123000;16316;16352;16314;16332;973
240104;124500;16334;16340;16324;16328;538
240104;130000;16328;16330;16314;16326;663
240104;131500;16328;16344;16322;16324;427
240104;133000;16324;16336;16322;16336;200
240104;134500;16336;16346;16318;16320;422
240104;140000;16318;16336;16314;16336;400
240104;141500;16334;16340;16332;16336;320
240104;143000;16336;16338;16332;16332;114
240104;144500;16334;16334;16326;16330;134
240104;150000;16330;16336;16322;16326;443
240104;151500;16326;16334;16320;16324;440
240104;153000;16324;16338;16324;16330;306
240104;154500;16330;16334;16324;16328;232
240104;160000;16328;16328;16320;16322;372
240104;161500;16324;16328;16322;16326;190
240104;163000;16326;16326;16320;16322;316
240104;164500;16320;16324;16320;16320;266
240104;170000;16320;16322;16320;16320;342
240104;171500;16320;16330;16320;16326;338
240104;173000;16328;16328;16322;16324;147
