<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240103;090000;2106.5;2107.3;2104.8;2105.7;1668
240103;091500;2105.6;2106;2104.3;2105.3;1109
240103;093000;2105.4;2105.5;2104.9;2105.2;899
240103;094500;2105.1;2105.6;2104.3;2104.7;1254
240103;100000;2104.5;2104.6;2102.3;2102.6;1805
240103;101500;2102.6;2102.9;2101.4;2101.4;2250
240103;103000;2101.5;2103.3;2101.1;2103.3;1120
240103;104500;2103.4;2103.6;2102.4;2103;875
240103;110000;2103;2104;2102.2;2103.5;1206
240103;111500;2103.3;2103.3;2098.7;2100.9;2223
240103;113000;2100.7;2101.1;2099.8;2101;710
240103;114500;2101;2101.1;2098.7;2099.5;2405
240103;120000;2099.5;2100.2;2098.1;2098.2;1233
240103;121500;2098.2;2098.7;2097.3;2098.7;1020
240103;123000;2098.7;2098.9;2094.6;2095.1;2179
240103;124500;2095.2;2097;2095.2;2096.7;832
240103;130000;2096.6;2097.1;2095.4;2095.4;566
240103;131500;2095.3;2095.4;2092.5;2093;2280
240103;133000;2092.9;2094.5;2092.9;2094.4;1600
240103;134500;2094.4;2095.4;2094;2094.4;681
240103;140000;2094.4;2094.4;2092.2;2093;1085
240103;141500;2093;2093.5;2091.3;2091.8;1201
240103;143000;2091.7;2091.7;2088;2089.4;4566
240103;144500;2089.3;2090.8;2086.8;2088.3;2643
240103;150000;2088.2;2088.8;2082.8;2086.7;3945
240103;151500;2086.8;2087.8;2083.3;2085.5;2432
240103;153000;2085;2088.6;2083.9;2088.3;3259
240103;154500;2088.3;2090.4;2087.9;2088.1;1762
240103;160000;2088.8;2090.3;2087.9;2088.2;1319
240103;161500;2088.1;2089.1;2084.2;2085.8;3970
240103;163000;2085.9;2088.7;2085.4;2086.1;1675
240103;164500;2086.1;2086.2;2083;2085.6;3020
240103;170000;2085.6;2086.9;2081.7;2082.7;4283
240103;171500;2082.8;2083.9;2080.5;2083.9;3780
240103;173000;2083.8;2084.3;2080.8;2082.6;4073
240103;174500;2082.5;2086.5;2082.1;2084.9;1926
240103;180000;2084.8;2093.9;2083.3;2086.9;7471
240103;181500;2086.9;2087;2081.4;2084.1;3734
240103;183000;2084.1;2085.6;2080.7;2081.8;5281
240103;184500;2081.8;2083.1;2080.9;2081.2;712
240103;190000;2083.3;2085.3;2081.8;2082.9;1094
240103;191500;2082.4;2083.9;2081.3;2082.1;1502
240103;193000;2082.1;2082.5;2080.8;2081.4;1087
240103;194500;2081.3;2081.8;2080;2080.9;3315
240103;200000;2080.8;2081.5;2078.8;2081.5;1647
240103;201500;2081.5;2081.8;2080.3;2081.3;952
240103;203000;2081.3;2081.4;2079;2079.7;1444
240103;204500;2080;2081.6;2079.1;2081.6;568
240103;210000;2081.5;2083.6;2081;2081;1444
240103;211500;2081.2;2083.5;2080.5;2083.1;1594
240103;213000;2083.1;2083.5;2082.4;2083.4;749
240103;214500;2083.3;2084.6;2083.3;2084.3;873
240103;220000;2084.2;2085.6;2079.4;2079.7;2691
240103;221500;2079.8;2087.6;2079.8;2087.1;2528
240103;223000;2087.4;2089.9;2084.8;2086.3;2928
240103;224500;2086.2;2086.3;2082.7;2085.1;1130
240103;230000;2084.9;2086.6;2084.8;2086.5;1015
240103;231500;2086.6;2089.2;2086.6;2087.9;1046
240103;233000;2087.9;2088.7;2087.7;2088.3;285
240103;234500;2088.3;2089.2;2088.2;2088.6;499
240104;090000;2089.4;2091;2089.4;2090.5;2063
240104;091500;2090.6;2094.6;2090.5;2093.5;2987
240104;093000;2093.4;2094;2091.7;2091.7;913
240104;094500;2091.7;2092.8;2091.5;2092.4;729
240104;100000;2092.4;2093.4;2092;2092.5;1099
240104;101500;2092.3;2092.7;2091.3;2092.6;1195
240104;103000;2092.5;2093.5;2090.8;2092.4;3213
240104;104500;2092.4;2092.4;2088.6;2089.3;4697
240104;110000;2089.3;2090;2088.3;2089.8;1817
240104;111500;2089.8;2089.9;2087.4;2087.6;2674
240104;113000;2087.5;2088;2085;2085.2;4314
240104;114500;2085.2;2087;2085.2;2086.5;562
240104;120000;2086.6;2088.8;2086.1;2088.7;1500
240104;121500;2088.6;2089.3;2086.3;2087.1;594
240104;123000;2087.3;2091.3;2087.3;2090.2;1592
240104;124500;2090.1;2090.6;2087.7;2087.9;676
240104;130000;2087.9;2089.2;2087.6;2089;597
240104;131500;2088.9;2091;2088.7;2089.9;642
240104;133000;2089.9;2089.9;2088.5;2088.6;323
240104;134500;2088.6;2089;2087.2;2088.5;457
240104;140000;2088.3;2088.9;2088.1;2088.6;221
240104;141500;2088.2;2088.5;2087.9;2088.1;227
240104;143000;2087.9;2088.2;2087.1;2087.3;426
240104;144500;2087.5;2087.6;2085.4;2085.6;1142
240104;150000;2085.7;2085.9;2083.7;2084.8;1641
240104;151500;2084.9;2086.6;2084.3;2086.1;957
240104;153000;2086.2;2086.6;2085.1;2086.4;618
240104;154500;2086.4;2086.4;2085.9;2086.2;226
240104;160000;2086.3;2087.9;2085.5;2086.6;1482
240104;161500;2086.7;2086.7;2080.7;2083.2;7138
240104;163000;2083.6;2083.6;2077.8;2078.5;4615
240104;164500;2078.5;2081.4;2078.5;2079.8;2557
240104;170000;2079.7;2080.3;2076.4;2079.3;3897
240104;171500;2079.4;2081.7;2079.4;2080;1950
240104;173000;2080;2080.4;2078.7;2080;848
240104;174500;2079.9;2080.1;2075.5;2079.1;3355
240104;180000;2078.9;2083.8;2078.3;2083.6;4956
240104;181500;2083.5;2085.4;2080.9;2085.2;1838
240104;183000;2085.1;2085.9;2082.8;2083;1262
240104;184500;2083.1;2083.4;2082;2083.4;284
240104;190000;2083.1;2083.6;2082.1;2083.4;563
240104;191500;2083.4;2084.3;2082.2;2083.8;602
240104;193000;2083.6;2084.7;2083;2084;639
240104;194500;2083.8;2084.2;2083.1;2083.3;1373
240104;200000;2083.3;2084;2082.1;2082.9;1258
240104;201500;2082.9;2083.2;2080.7;2081.1;712
240104;203000;2081.1;2082.7;2080.3;2082.4;553
240104;204500;2082.4;2083;2081.6;2082.5;226
240104;210000;2082.5;2082.6;2080.7;2081.7;306
240104;211500;2081.5;2081.9;2081;2081.9;254
240104;213000;2081.8;2082.9;2081.5;2082.4;440
240104;214500;2082.4;2082.5;2081.5;2082.5;119
240104;220000;2082.5;2083;2082.4;2082.9;722
240104;221500;2082.8;2083;2082.2;2082.4;240
240104;223000;2082.4;2082.5;2082;2082.5;103
240104;224500;2082.7;2084.5;2082.7;2084.3;599
240104;230000;2084.1;2084.6;2083.6;2084.5;256
240104;231500;2084.4;2084.4;2083.4;2083.6;253
240104;233000;2083.7;2084.5;2083.7;2084.4;838
240104;234500;2084.4;2085.2;2084.1;2084.8;359
240105;090000;2084.4;2084.7;2084;2084.4;772
240105;091500;2084.3;2084.7;2083.8;2084.5;1670
240105;093000;2084.4;2084.8;2082.3;2082.6;1639
240105;094500;2082.6;2083.6;2082.5;2083.6;904
240105;100000;2083.2;2086.3;2083;2086;1073
240105;101500;2086.1;2087.8;2085.1;2085.1;1466
240105;103000;2085.3;2085.8;2084.4;2084.5;362
240105;104500;2084.5;2085.8;2084.1;2084.3;377
240105;110000;2084.2;2085.3;2083.5;2083.8;785
240105;111500;2084;2084;2083.3;2083.9;659
240105;113000;2083.7;2083.9;2082.4;2083.2;431
240105;114500;2083.2;2083.9;2082.7;2082.9;227
240105;120000;2083;2084.4;2082;2082.3;1926
240105;121500;2082.4;2083.2;2081.8;2082.3;382
240105;123000;2082.1;2082.1;2080.8;2080.8;559
240105;124500;2080.8;2081.2;2078.7;2079.2;1276
240105;130000;2079.2;2079.2;2077.2;2078.5;1334
240105;131500;2078.3;2078.7;2077.8;2078.3;762
240105;133000;2078.3;2079.3;2078.2;2079;841
240105;134500;2079;2080.5;2079;2080.4;1036
240105;140000;2080.5;2080.5;2079.4;2079.4;246
240105;141500;2079.3;2079.4;2077.5;2078.1;1016
240105;143000;2078.2;2079.8;2077.9;2079.1;553
240105;144500;2079.1;2080.2;2079;2079.9;440
240105;150000;2080;2081.3;2079.5;2080.3;1217
240105;151500;2080.4;2080.6;2079;2079.7;415
240105;153000;2079.6;2081;2079.5;2080.8;439
240105;154500;2080.8;2082.2;2080.7;2080.7;1197
240105;160000;2080.8;2081.9;2079.4;2080.9;877
240105;161500;2080.9;2081.1;2079.3;2079.4;908
240105;163000;2079.3;2079.3;2066.4;2073.8;19777
240105;164500;2073.6;2080.4;2070.2;2078.8;7134
240105;170000;2078.9;2085.3;2078;2078.8;7151
240105;171500;2078.9;2087;2078.9;2084.8;4510
240105;173000;2084.7;2087;2080.4;2082.7;2794
240105;174500;2082.8;2086.1;2082.7;2084.2;1808
240105;180000;2084.5;2100;2084.5;2097.6;18337
240105;181500;2097.7;2100.7;2096.1;2096.8;7996
240105;183000;2096.8;2099.6;2095.8;2097.9;3049
240105;184500;2097.8;2097.9;2094.1;2094.8;2128
240105;190000;2094;2094.3;2090.8;2094.2;4259
240105;191500;2094.1;2094.3;2089.6;2089.9;2772
240105;193000;2089.8;2091.9;2089.8;2090.4;1009
240105;194500;2090.4;2090.8;2084.9;2085.6;2922
240105;200000;2085.5;2086.1;2081.6;2084.6;4071
240105;201500;2084.5;2086.4;2082.6;2082.8;1560
240105;203000;2082.9;2084.6;2082;2083.8;1191
240105;204500;2083.8;2084.9;2082.6;2083.6;778
240105;210000;2083.5;2084;2082.2;2083.7;940
240105;211500;2083.7;2084.6;2082.8;2084.2;689
240105;213000;2084.4;2087.3;2084.4;2086.4;2144
240105;214500;2086.5;2089;2086.3;2088.9;1437
240105;220000;2088.8;2090.9;2088.8;2090.2;1294
240105;221500;2090.2;2090.2;2088;2088.4;1327
240105;223000;2088.3;2089;2087;2087.1;1462
240105;224500;2087.1;2087.2;2085.5;2086.6;2015
240105;230000;2086.4;2086.4;2084.4;2084.7;662
240105;231500;2084.9;2086.3;2084.8;2085.5;1194
240105;233000;2085.5;2085.9;2083.9;2084.8;1143
240105;234500;2084.9;2086.4;2084.8;2086.4;265
240108;090000;2072.9;2073.2;2069.5;2072.9;7465
240108;091500;2072.9;2072.9;2071.1;2072.4;1227
240108;093000;2072.4;2073.7;2071.6;2073.6;870
240108;094500;2073.8;2073.9;2073;2073.6;661
240108;100000;2073.4;2073.4;2071.9;2073;1515
240108;101500;2072.9;2073;2069.5;2071.4;2116
240108;103000;2071.4;2071.7;2069.7;2071.1;1296
240108;104500;2071.2;2073;2071.2;2072;848
240108;110000;2072;2072.3;2069;2069.8;1646
240108;111500;2069.9;2071.6;2069.9;2070.5;1016
240108;113000;2070.6;2071.7;2069.1;2069.6;2341
240108;114500;2069.6;2069.8;2069;2069.3;834
240108;120000;2069.4;2071.2;2069.2;2069.8;1057
240108;121500;2069.6;2070;2068.2;2068.9;1338
240108;123000;2068.9;2070.1;2068.8;2070.1;590
240108;124500;2070.1;2072.4;2070.1;2070.6;1246
240108;130000;2070.6;2070.9;2069.7;2070.2;841
240108;131500;2070.3;2071;2069.3;2069.6;660
240108;133000;2069.7;2070.2;2069.1;2069.2;715
240108;134500;2069.2;2069.9;2069;2069.8;893
240108;140000;2069.6;2069.7;2067;2067.1;1744
240108;141500;2067.2;2067.4;2059.1;2065.1;7428
240108;143000;2065.2;2065.5;2062.3;2063.5;2373
240108;144500;2063.4;2065.1;2062.8;2063.5;1793
240108;150000;2063.3;2064.6;2062.9;2064.4;1402
240108;151500;2064.4;2064.7;2063.4;2064.2;1868
240108;153000;2064.2;2064.3;2063.1;2064;401
240108;154500;2064.1;2069.4;2064.1;2069;3609
240108;160000;2069;2069.8;2065;2065.8;2992
240108;161500;2065.8;2069.2;2065.7;2066.8;1638
240108;163000;2066.8;2067.7;2064.4;2066.5;2762
240108;164500;2066.6;2066.8;2063.6;2064.3;3002
240108;170000;2064.3;2066.6;2064.2;2065.9;1488
240108;171500;2065.6;2066;2063.6;2065.1;1086
240108;173000;2064.7;2069.6;2064.7;2069.1;2525
240108;174500;2069;2071.5;2068;2070.9;2164
240108;180000;2071;2075;2069.9;2074.2;3569
240108;181500;2074.1;2075;2072.4;2074.5;1972
240108;183000;2074.5;2076.9;2074;2075.5;3556
240108;184500;2075.5;2076.7;2074.9;2076.1;1202
240108;190000;2076;2078.7;2076;2078;2358
240108;191500;2078;2078.2;2074.8;2075.1;2341
240108;193000;2075.1;2075.3;2072.8;2074.4;1988
240108;194500;2074.3;2075.4;2073.1;2074.1;2097
240108;200000;2074.1;2074.6;2072;2072.3;1392
240108;201500;2072.3;2073;2070.7;2071.4;1010
240108;203000;2071.3;2071.5;2070;2070.4;1256
240108;204500;2070.3;2071;2069.2;2070.6;1397
240108;210000;2070.7;2070.7;2069.3;2069.9;1022
240108;211500;2069.9;2070.7;2069.5;2069.7;584
240108;213000;2069.6;2071.4;2069.5;2070.5;682
240108;214500;2070.6;2070.7;2069.9;2069.9;317
240108;220000;2069.9;2071.3;2069.9;2071.3;527
240108;221500;2071.3;2072.2;2071.2;2072.2;810
240108;223000;2072.1;2072.3;2071.1;2071.3;886
240108;224500;2071.1;2072.5;2071;2072.3;469
240108;230000;2072.4;2072.5;2069;2069;829
240108;231500;2069;2069.7;2068.6;2069.5;902
240108;233000;2069.6;2069.9;2069;2069.1;143
240108;234500;2069.2;2069.6;2069.1;2069.5;119
240109;090000;2073.7;2074.8;2073;2073.4;1814
240109;091500;2073.4;2074.5;2073.4;2074.5;652
240109;093000;2074.4;2076.7;2073.4;2076.3;1331
240109;094500;2076.4;2076.4;2074;2074.7;879
240109;100000;2074.5;2076.4;2074;2075.4;546
240109;101500;2075.4;2078.3;2075.1;2077.5;2375
240109;103000;2077.6;2078.5;2076.6;2076.9;2035
240109;104500;2077;2077.4;2075.7;2076.3;2179
240109;110000;2076.3;2078.5;2073;2073;3369
240109;111500;2073;2073.1;2071.2;2071.4;2327
240109;113000;2071.6;2074.5;2071.3;2073.7;1163
240109;114500;2073.8;2074.5;2073.7;2074.5;300
240109;120000;2074.4;2075.3;2072.8;2073;1017
240109;121500;2073;2075;2073;2074.8;715
240109;123000;2074.9;2076.3;2074.7;2075.6;892
240109;124500;2075.7;2076.2;2074.7;2074.8;1462
240109;130000;2074.8;2076.5;2074.7;2076;1672
240109;131500;2076;2077.7;2075.9;2077;912
240109;133000;2077;2078;2076.9;2077.7;785
240109;134500;2077.7;2077.7;2074.9;2075.4;1282
240109;140000;2075.4;2075.4;2073.9;2074.3;969
240109;141500;2074.2;2076;2074.2;2075.5;1550
240109;143000;2075.3;2075.4;2073.7;2073.8;1134
240109;144500;2074;2075.9;2073.8;2075.9;1572
240109;150000;2075.8;2076.6;2075;2076.1;723
240109;151500;2076.2;2077;2075.9;2075.9;475
240109;153000;2076;2076.2;2074.7;2075.5;607
240109;154500;2075.7;2076.9;2075.7;2076.8;418
240109;160000;2076.7;2076.8;2074.5;2075.9;882
240109;161500;2075.9;2076.2;2073.1;2074.3;3252
240109;163000;2074.3;2082.9;2074.3;2078.1;6855
240109;164500;2078.1;2080.5;2077.3;2080.3;3832
240109;170000;2080.3;2081.9;2080;2081.6;2494
240109;171500;2081.5;2081.6;2080;2080;4937
240109;173000;2080;2080.5;2079.2;2080.3;6787
240109;174500;2080.2;2080.2;2077.7;2078.8;1679
240109;180000;2078.8;2079.2;2076.5;2077.2;1419
240109;181500;2077.4;2078.7;2077;2077.8;406
240109;183000;2077.8;2078.5;2075.8;2076.2;970
240109;184500;2076.1;2077.3;2075.7;2077.1;1194
240109;190000;2075.2;2075.2;2070.2;2072.5;3253
240109;191500;2072.5;2075.7;2072;2073.8;2454
240109;193000;2074;2075.9;2073.8;2074.1;1014
240109;194500;2074.3;2076.9;2074.3;2076.6;685
240109;200000;2076.5;2077.3;2075.4;2075.4;2002
240109;201500;2075.4;2075.7;2073.9;2074.5;1181
240109;203000;2074.5;2074.5;2072;2072.3;1285
240109;204500;2072.5;2073.8;2072.2;2072.5;450
240109;210000;2072.6;2074.5;2072.1;2072.7;1049
240109;211500;2072.8;2073;2072.1;2072.7;870
240109;213000;2072.8;2073.5;2072.3;2073.3;1322
240109;214500;2073.3;2075.2;2073.1;2075.1;821
240109;220000;2075;2075.4;2073.7;2073.9;1376
240109;221500;2073.8;2074.3;2073;2073.2;1594
240109;223000;2073.1;2073.2;2072.1;2072.2;552
240109;224500;2072.1;2073.5;2072;2072.9;422
240109;230000;2073.2;2074.6;2073.2;2074;243
240109;231500;2074;2074.3;2073.6;2073.6;166
240109;233000;2073.5;2073.5;2072.7;2073.3;106
240109;234500;2073.5;2073.5;2072.5;2072.5;159
240110;090000;2071.2;2071.2;2067.4;2067.9;2917
240110;091500;2067.9;2070.3;2067.9;2069.9;1661
240110;093000;2069.8;2070;2068.8;2069;524
240110;094500;2068.9;2070;2067;2067.8;1953
240110;100000;2067.7;2070;2067.5;2069.7;909
240110;101500;2069.7;2072;2069.7;2071.4;2622
240110;103000;2071.3;2073.8;2071;2073.5;1438
240110;104500;2073.4;2073.9;2073;2073.2;1304
240110;110000;2073.2;2077;2072.2;2075.8;3923
240110;111500;2075.7;2078;2075.3;2077;1772
240110;113000;2077;2077;2074.3;2075.2;1418
240110;114500;2075.2;2077;2074.7;2076.8;704
240110;120000;2076.7;2077.5;2076.3;2077.2;1054
240110;121500;2077.2;2077.3;2076.3;2076.7;1049
240110;123000;2076.7;2076.8;2075.5;2076.1;438
240110;124500;2076.1;2077.1;2075.6;2077.1;844
240110;130000;2077;2081;2076.9;2077.9;4067
240110;131500;2077.9;2078;2077.1;2077.9;819
240110;133000;2077.9;2077.9;2076.2;2076.2;1418
240110;134500;2076.2;2076.6;2075.3;2075.3;665
240110;140000;2075.4;2075.7;2075;2075.7;634
240110;141500;2075.7;2075.7;2073.6;2073.7;838
240110;143000;2073.7;2075.5;2073.5;2075.5;931
240110;144500;2075.4;2075.8;2074.5;2075.5;571
240110;150000;2075.4;2077;2075.4;2077;424
240110;151500;2077;2077.3;2075.2;2077.1;935
240110;153000;2077.1;2077.5;2074.8;2074.8;2622
240110;154500;2074.8;2074.8;2073.4;2073.4;1093
240110;160000;2073.3;2075.3;2072.6;2075.2;1408
240110;161500;2075.2;2076.3;2074;2074.6;755
240110;163000;2074.5;2074.9;2072.9;2073.5;690
240110;164500;2073.4;2074.1;2072.2;2072.3;688
240110;170000;2072.4;2073.9;2071.4;2072.7;1051
240110;171500;2072.7;2073.5;2071.3;2073.3;1008
240110;173000;2073.1;2076.6;2071.4;2072.4;1630
240110;174500;2072.4;2072.5;2069.7;2070.6;1994
240110;180000;2070.7;2070.8;2068.2;2069.5;2464
240110;181500;2069.5;2069.7;2068.4;2069.7;1766
240110;183000;2069.7;2072.7;2069.4;2072.6;2467
240110;184500;2072.3;2072.5;2070.6;2071.8;766
240110;190000;2070.5;2072.5;2069.1;2069.2;796
240110;191500;2069.2;2069.9;2068.5;2069;900
240110;193000;2069.2;2069.6;2068.2;2068.8;1433
240110;194500;2068.9;2071.3;2068.8;2070.6;1027
240110;200000;2070.5;2071.2;2069.7;2070.6;518
240110;201500;2070.7;2070.8;2069;2069;212
240110;203000;2069;2069.4;2068;2068.7;1257
240110;204500;2068.7;2069;2064.3;2066.8;3814
240110;210000;2066.9;2068.2;2066.4;2067.9;2639
240110;211500;2067.9;2068.2;2066.3;2067.5;3593
240110;213000;2067.5;2068.1;2066.5;2067.7;1587
240110;214500;2067.7;2069.7;2067.5;2069.5;839
240110;220000;2069.6;2069.6;2066.8;2067.1;650
240110;221500;2067.2;2069;2067;2068.8;1794
240110;223000;2068.7;2070.5;2068.7;2070.1;900
240110;224500;2070.1;2070.9;2069.8;2070.6;798
240110;230000;2070.7;2071.7;2068;2068.3;1759
240110;231500;2068.2;2069.5;2068.1;2068.9;470
240110;233000;2068.6;2069.8;2068.5;2069.5;383
240110;234500;2069.4;2069.4;2068;2068;505
240111;090000;2075.7;2078.8;2075.6;2077.7;5575
240111;091500;2077.7;2077.7;2075.8;2077.1;1907
240111;093000;2077.1;2077.6;2076.5;2076.8;683
240111;094500;2076.8;2076.9;2075.6;2075.9;735
240111;100000;2075.9;2076.5;2075.6;2075.8;3520
240111;101500;2075.8;2075.8;2074;2075.5;4919
240111;103000;2075.4;2075.6;2073.9;2074.6;667
240111;104500;2074.5;2075;2073.8;2074.1;473
240111;110000;2074.1;2074.1;2071.9;2073.2;1340
240111;111500;2073.2;2073.4;2071.8;2073.2;718
240111;113000;2073.3;2073.3;2072;2072.1;276
240111;114500;2072.2;2072.6;2070.7;2071.2;1465
240111;120000;2071.1;2072.7;2070.7;2072.2;919
240111;121500;2072.2;2072.8;2071.4;2071.4;793
240111;123000;2071.4;2072.9;2071;2072.6;322
240111;124500;2072.5;2073.2;2072.3;2072.4;880
240111;130000;2072.4;2072.4;2071.5;2071.8;472
240111;131500;2071.7;2073.2;2071.6;2072.5;398
240111;133000;2072.8;2074;2072.6;2073.2;916
240111;134500;2073.1;2073.3;2072.8;2073.2;987
240111;140000;2073.2;2075.5;2073.2;2075.3;2942
240111;141500;2075.1;2078;2074.7;2077.9;3957
240111;143000;2077.9;2078.8;2077.3;2078.8;1926
240111;144500;2078.7;2079;2077.7;2078.4;1820
240111;150000;2078.5;2079;2077.2;2077.4;2108
240111;151500;2077.4;2078.2;2076.5;2077.7;2178
240111;153000;2077.7;2078.3;2077.4;2077.7;1081
240111;154500;2077.7;2077.9;2076.2;2077;2193
240111;160000;2077;2079.9;2077;2079.1;3359
240111;161500;2079.2;2084.6;2078.7;2081.9;9879
240111;163000;2082.1;2099.8;2068;2072;34521
240111;164500;2072.2;2074.4;2068.8;2071.3;5356
240111;170000;2071.3;2073;2066.9;2072.9;6079
240111;171500;2072.6;2074.5;2070.1;2071.5;2586
240111;173000;2071.5;2077;2070.1;2071.3;5105
240111;174500;2071.2;2073.5;2069.3;2071.6;1714
240111;180000;2071.7;2071.7;2067.6;2067.8;2288
240111;181500;2068.1;2072.5;2067.7;2072.4;1842
240111;183000;2072.4;2074.7;2071.5;2072.7;1561
240111;184500;2072.6;2072.8;2072.1;2072.6;176
240111;190000;2072.6;2072.6;2067.3;2067.5;1739
240111;191500;2067.5;2068.6;2059.9;2062.5;9159
240111;193000;2062.5;2062.6;2058;2059.4;6695
240111;194500;2059.3;2064.2;2059.3;2061.2;3711
