<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240103;100000;3.9665;3.98;3.963;3.975;1998300
240103;101500;3.975;3.978;3.9685;3.9705;1221100
240103;103000;3.97;3.978;3.9695;3.974;1607900
240103;104500;3.9725;3.99;3.9725;3.9835;3900000
240103;110000;3.982;3.985;3.98;3.9845;699800
240103;111500;3.983;3.986;3.98;3.986;567100
240103;113000;3.985;3.99;3.9835;3.9895;986800
240103;114500;3.9895;3.99;3.987;3.988;475000
240103;120000;3.9875;3.9895;3.983;3.983;386500
240103;121500;3.984;3.9845;3.983;3.9845;399900
240103;123000;3.9845;3.985;3.983;3.985;241900
240103;124500;3.985;3.99;3.9845;3.99;712900
240103;130000;3.99;4;3.9895;3.9975;3351600
240103;131500;3.9965;4;3.9935;3.9965;704700
240103;133000;3.998;3.999;3.996;3.997;187800
240103;134500;3.9985;4;3.997;4;699900
240103;140000;4;4;3.996;3.996;280800
240103;141500;3.997;3.999;3.996;3.997;115000
240103;143000;3.999;4;3.997;3.9995;729300
240103;144500;3.9995;4;3.9975;3.998;434500
240103;150000;3.998;3.998;3.9915;3.995;635600
240103;151500;3.9955;3.9955;3.9905;3.9915;472700
240103;153000;3.9915;3.9965;3.9905;3.995;387000
240103;154500;3.995;3.9965;3.994;3.9965;271400
240103;160000;3.9965;3.997;3.9945;3.9965;384900
240103;161500;3.9955;3.9995;3.994;3.995;719300
240103;163000;3.996;3.996;3.9925;3.994;265700
240103;164500;3.994;3.9955;3.99;3.995;329200
240103;170000;3.9935;3.996;3.9915;3.9945;355500
240103;171500;3.9945;3.998;3.9935;3.995;108600
240103;173000;3.9945;3.9965;3.9925;3.995;180000
240103;174500;3.995;3.9985;3.993;3.9985;438700
240103;180000;3.9985;4;3.996;3.9965;981200
240103;181500;3.9965;4.007;3.9965;4.006;1758700
240103;183000;4.006;4.0115;4.005;4.0095;598300
240103;184500;4.0125;4.0125;4.0125;4.0125;408800
240103;190000;4.0145;4.0145;4.01;4.011;501500
240103;191500;4.011;4.0115;4.0065;4.0095;442500
240103;193000;4.0095;4.0095;4.0055;4.007;196500
240103;194500;4.007;4.009;4.0065;4.008;127500
240103;200000;4.008;4.0095;4.0065;4.0085;235000
240103;201500;4.009;4.0135;4.009;4.0135;162000
240103;203000;4.013;4.0135;4.0115;4.013;659000
240103;204500;4.013;4.013;4.01;4.012;882400
240103;210000;4.0125;4.013;4.011;4.012;228200
240103;211500;4.011;4.0125;4.0105;4.0125;438200
240103;213000;4.0105;4.012;4.008;4.0095;757300
240103;214500;4.0095;4.011;4.0085;4.01;180100
240103;220000;4.011;4.012;4.0095;4.01;335400
240103;221500;4.0115;4.0115;4.0095;4.0105;59200
240103;223000;4.01;4.012;4.0095;4.0095;1175200
240103;224500;4.01;4.012;4.009;4.012;170900
240103;230000;4.0115;4.012;4.0115;4.012;221100
240103;231500;4.012;4.0125;4.011;4.0115;380300
240103;233000;4.0125;4.0125;4.0115;4.0125;72000
240103;234500;4.0125;4.0125;4.009;4.0095;135500
240104;100000;4.017;4.029;4.0155;4.017;2002200
240104;101500;4.0165;4.025;4.016;4.0225;899900
240104;103000;4.023;4.023;4.015;4.0185;612500
240104;104500;4.0185;4.019;4.0135;4.0135;880100
240104;110000;4.0145;4.025;4.0135;4.025;1200500
240104;111500;4.0235;4.0255;4.019;4.021;590300
240104;113000;4.021;4.0235;4.0195;4.02;88300
240104;114500;4.0205;4.024;4.0195;4.024;594800
240104;120000;4.023;4.0345;4.023;4.03;2572000
240104;121500;4.0305;4.033;4.027;4.0315;496300
240104;123000;4.031;4.0315;4.027;4.0295;248800
240104;124500;4.03;4.03;4.028;4.028;721900
240104;130000;4.0285;4.0305;4.028;4.028;532200
240104;131500;4.03;4.033;4.029;4.0315;1237100
240104;133000;4.03;4.0315;4.028;4.029;287500
240104;134500;4.03;4.03;4.025;4.0265;623200
240104;140000;4.0265;4.0265;4.025;4.026;203400
240104;141500;4.0265;4.0295;4.026;4.028;494700
240104;143000;4.029;4.03;4.027;4.0295;195600
240104;144500;4.0295;4.03;4.0275;4.0295;199000
240104;150000;4.0295;4.0295;4.0205;4.022;599900
240104;151500;4.023;4.0245;4.0195;4.0195;852600
240104;153000;4.0195;4.0215;4.018;4.0215;385300
240104;154500;4.0215;4.025;4.0185;4.02;326500
240104;160000;4.022;4.022;4.008;4.0125;1788600
240104;161500;4.0115;4.018;4.01;4.012;878600
240104;163000;4.0125;4.0165;4.012;4.0145;87600
240104;164500;4.0145;4.0185;4.0105;4.0155;410600
240104;170000;4.0135;4.0175;4.012;4.0145;449200
240104;171500;4.0145;4.018;4.0135;4.016;215700
240104;173000;4.018;4.0205;4.016;4.0195;142700
240104;174500;4.0195;4.0205;4.0145;4.0175;455300
240104;180000;4.017;4.02;4.008;4.018;595200
240104;181500;4.019;4.023;4.0175;4.021;688700
240104;183000;4.021;4.022;4.015;4.015;160900
240104;184500;4;4;4;4;3996900
240104;190000;4.0035;4.011;4;4.008;2021300
240104;191500;4.008;4.012;4.008;4.0105;360100
240104;193000;4.011;4.0115;4.007;4.011;466000
240104;194500;4.0105;4.0105;4.0075;4.0095;256800
240104;200000;4.0075;4.0105;4.007;4.0105;340200
240104;201500;4.01;4.0105;4.007;4.007;285600
240104;203000;4.0065;4.013;4.0055;4.0125;429600
240104;204500;4.0125;4.0135;4.01;4.0125;54800
240104;210000;4.0125;4.014;4.011;4.014;593900
240104;211500;4.014;4.014;4.0135;4.014;334300
240104;213000;4.014;4.0145;4.01;4.0125;403700
240104;214500;4.011;4.011;4.0055;4.0105;284600
240104;220000;4.0105;4.0105;4.007;4.0095;34400
240104;221500;4.008;4.008;4.0035;4.0045;485900
240104;223000;4.006;4.008;4.004;4.007;345100
