<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240103;100000;7014.5;7071.5;7014.5;7039.5;13900
240103;101500;7039;7086;7038;7064;8306
240103;103000;7064;7080;7064;7074;3769
240103;104500;7076;7090;7075;7087;5505
240103;110000;7087;7089.5;7075;7077.5;7820
240103;111500;7077.5;7082.5;7076;7080.5;1701
240103;113000;7080.5;7082;7080;7081;1589
240103;114500;7081;7081.5;7078.5;7078.5;1266
240103;120000;7077.5;7080;7069.5;7069.5;3405
240103;121500;7069.5;7073;7069.5;7073;937
240103;123000;7072.5;7079.5;7071;7079;1466
240103;124500;7079;7088.5;7075.5;7088;3546
240103;130000;7088;7096.5;7085;7089;5204
240103;131500;7088;7088;7081;7083;1428
240103;133000;7083;7087.5;7081;7085;675
240103;134500;7085;7089.5;7085;7085.5;1767
240103;140000;7085.5;7100;7085.5;7095;2789
240103;141500;7095.5;7116;7095.5;7107;9410
240103;143000;7106.5;7108;7096;7098.5;3032
240103;144500;7098;7101.5;7096;7100;2094
240103;150000;7100;7108;7100;7108;2421
240103;151500;7108;7138;7108;7125;7825
240103;153000;7125;7144;7124.5;7137;9454
240103;154500;7137.5;7138;7137;7137;3518
240103;160000;7137;7146;7137;7143.5;3578
240103;161500;7143.5;7148;7142.5;7145;1797
240103;163000;7145.5;7149;7140.5;7145;2664
240103;164500;7145;7153;7145;7148.5;5469
240103;170000;7150;7170;7148.5;7149.5;6136
240103;171500;7149;7150;7147;7148;2284
240103;173000;7148;7150;7144;7145;1791
240103;174500;7144;7155;7144;7149;7216
240103;180000;7149.5;7155;7149;7155;3134
240103;181500;7155;7155;7149;7152.5;2980
240103;183000;7152.5;7157.5;7152.5;7155;3751
240103;184500;7155.5;7155.5;7155.5;7155.5;1524
240103;190000;7157.5;7169.5;7157;7164;2493
240103;191500;7164.5;7187.5;7163.5;7174.5;7079
240103;193000;7175;7181;7171.5;7172.5;2537
240103;194500;7174.5;7181;7173;7180;2123
240103;200000;7180;7183.5;7173;7183.5;3208
240103;201500;7183.5;7185;7181;7185;961
240103;203000;7184.5;7185;7183;7184;962
240103;204500;7184;7184.5;7175;7175.5;2960
240103;210000;7175.5;7177.5;7166.5;7173;1637
240103;211500;7174;7184;7173.5;7173.5;1207
240103;213000;7174;7175.5;7172.5;7175.5;453
240103;214500;7175.5;7179.5;7174.5;7178;379
240103;220000;7178.5;7185;7178;7184;2117
240103;221500;7183;7185;7179;7182;1168
240103;223000;7182;7183.5;7179;7183.5;2625
240103;224500;7183;7183.5;7179;7180;1167
240103;230000;7179.5;7183;7177;7181.5;3125
240103;231500;7179;7181.5;7176;7177;991
240103;233000;7179.5;7184.5;7179.5;7184.5;2879
240103;234500;7184.5;7187;7184.5;7187;1230
240104;100000;7189.5;7222;7189.5;7220.5;20845
240104;101500;7220.5;7247;7220.5;7231;20828
240104;103000;7231;7247;7221;7245;9695
240104;104500;7245;7247;7232;7237.5;6735
240104;110000;7237;7247;7234;7246;5691
240104;111500;7245.5;7294;7245.5;7292.5;24278
240104;113000;7293;7310.5;7283.5;7310;18012
240104;114500;7310.5;7316.5;7300;7301;15049
240104;120000;7301;7305;7300;7303.5;7345
240104;121500;7304.5;7307;7300;7300;4152
240104;123000;7300.5;7305.5;7277.5;7285;13020
240104;124500;7286.5;7290.5;7239;7259;22459
240104;130000;7256;7263;7242;7255.5;9284
240104;131500;7258.5;7268;7255;7267.5;5019
240104;133000;7267.5;7296;7267;7295;4994
240104;134500;7295;7295.5;7280;7281;4333
240104;140000;7281;7285;7280;7280.5;1212
240104;141500;7282;7300;7280;7289;4178
240104;143000;7289;7295.5;7284;7292;2724
240104;144500;7291.5;7295;7286;7287.5;955
240104;150000;7288;7294.5;7287.5;7288;1395
240104;151500;7289;7290.5;7276.5;7277.5;3028
240104;153000;7277.5;7280.5;7271.5;7272.5;2436
240104;154500;7273;7282.5;7264.5;7282;2260
240104;160000;7282.5;7283;7268.5;7275;1116
240104;161500;7275;7288.5;7274;7284;2772
240104;163000;7280.5;7287.5;7278;7287;1772
240104;164500;7286.5;7291;7280;7285;1392
240104;170000;7285.5;7287;7277;7277;2161
240104;171500;7277.5;7280;7277;7280;1174
240104;173000;7278.5;7279.5;7274.5;7278.5;763
240104;174500;7278;7278.5;7267;7270.5;4535
240104;180000;7270.5;7278;7270;7278;1510
240104;181500;7278;7278;7272.5;7274.5;1374
240104;183000;7274.5;7274.5;7267.5;7267.5;2722
240104;184500;7289.5;7289.5;7289.5;7289.5;3565
240104;190000;7287.5;7287.5;7278;7278.5;3006
240104;191500;7279;7306;7279;7302.5;11073
240104;193000;7305;7305.5;7292;7298;3571
240104;194500;7295.5;7299.5;7286;7294.5;2218
240104;200000;7294.5;7295;7284;7290;1916
240104;201500;7290;7290;7285.5;7287;1007
240104;203000;7287.5;7290;7287.5;7290;876
240104;204500;7290;7298;7287.5;7294;2273
