<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240103;100000;271.75;271.75;271;271.21;728870
240103;101500;271.2;271.9;271.17;271.89;806540
240103;103000;271.89;273;271.88;272.6;1523280
240103;104500;272.6;273.7;272.6;273.48;2189740
240103;110000;273.49;274.36;273.48;273.7;1881950
240103;111500;273.7;274.09;273.69;274.01;531830
240103;113000;274.01;274.21;273.83;273.99;509220
240103;114500;273.99;274.1;273.85;273.93;401750
240103;120000;273.93;273.95;273.09;273.27;982790
240103;121500;273.25;273.56;273.2;273.39;567410
240103;123000;273.39;273.76;273.21;273.51;453250
240103;124500;273.51;273.81;273.51;273.7;222120
240103;130000;273.7;273.7;273.25;273.5;409210
240103;131500;273.49;273.86;273.46;273.85;260330
240103;133000;273.85;274.2;273.84;274.02;668580
240103;134500;274.01;274.05;273.7;273.72;310660
240103;140000;273.71;274;273.7;273.84;215080
240103;141500;273.84;274.09;273.77;274;165760
240103;143000;274.02;274.03;273.9;274.03;89310
240103;144500;274.03;274.1;273.84;274.1;295590
240103;150000;274.1;274.45;274.06;274.38;723460
240103;151500;274.38;274.38;274.16;274.25;214850
240103;153000;274.22;274.36;274.08;274.34;212660
240103;154500;274.34;274.35;274.3;274.34;111690
240103;160000;274.33;274.35;274.25;274.31;139920
240103;161500;274.3;274.31;273.9;273.91;317770
240103;163000;273.92;274.15;273.9;274.14;238310
240103;164500;274.14;274.27;274.11;274.24;84360
240103;170000;274.2;274.28;274.15;274.18;76280
240103;171500;274.19;274.2;274.08;274.17;138840
240103;173000;274.17;274.35;274.15;274.2;651370
240103;174500;274.2;274.35;274.19;274.27;166820
240103;180000;274.27;274.38;274.26;274.33;178610
240103;181500;274.32;274.38;274.11;274.15;251360
240103;183000;274.19;274.32;274.1;274.32;167680
240103;184500;273.64;273.64;273.64;273.64;1199100
240103;190000;273.78;273.96;273.77;273.96;442890
240103;191500;273.96;273.96;273.83;273.91;106340
240103;193000;273.91;273.96;273.85;273.87;60780
240103;194500;273.86;273.95;273.8;273.95;86140
240103;200000;273.93;273.94;273.82;273.84;26760
240103;201500;273.84;273.91;273.83;273.9;18370
240103;203000;273.91;273.95;273.9;273.92;27080
240103;204500;273.92;273.94;273.77;273.85;109440
240103;210000;273.8;273.87;273.75;273.8;53340
240103;211500;273.8;273.95;273.79;273.93;42890
240103;213000;273.94;273.95;273.85;273.95;34140
240103;214500;273.95;274.1;273.89;274.09;179500
240103;220000;274.09;274.1;273.93;274.02;102960
240103;221500;274.02;274.03;273.95;274.02;30200
240103;223000;274.02;274.04;273.94;274.03;64540
240103;224500;274.04;274.1;274.03;274.1;55820
240103;230000;274.09;274.16;274.08;274.15;40410
240103;231500;274.15;274.4;274.04;274.31;373520
240103;233000;274.36;274.63;274.32;274.57;340430
240103;234500;274.57;274.7;274.56;274.56;126660
240104;100000;274.68;275.48;274.6;275.06;1972810
240104;101500;275.07;275.07;274.83;274.84;462180
240104;103000;274.84;274.93;274.5;274.61;930740
240104;104500;274.61;274.61;274.1;274.45;777430
240104;110000;274.45;274.45;274.26;274.33;166690
240104;111500;274.33;274.55;274.31;274.5;167620
240104;113000;274.5;274.8;274.47;274.49;433720
240104;114500;274.5;274.91;274.48;274.85;308450
240104;120000;274.86;274.89;274.36;274.44;211330
240104;121500;274.44;274.47;274.24;274.25;317550
240104;123000;274.28;274.66;274.24;274.38;322400
240104;124500;274.37;274.39;273.84;273.89;631210
240104;130000;273.89;274.25;273.81;274.25;325860
240104;131500;274.18;274.28;274.03;274.11;153980
240104;133000;274.11;274.12;274;274.03;160920
240104;134500;274.04;274.24;274.02;274.11;227790
240104;140000;274.11;274.19;274.02;274.02;115550
240104;141500;274.05;274.14;274.02;274.14;58300
240104;143000;274.14;274.28;274.06;274.12;100610
240104;144500;274.13;274.18;274;274.09;159410
240104;150000;274.1;274.17;274;274;138710
240104;151500;274;274.09;274;274.03;44010
240104;153000;274.04;274.12;273.96;274.06;116660
240104;154500;274.06;274.08;273.96;274.06;71900
240104;160000;274.06;274.08;273.85;274;352540
240104;161500;274.01;274.07;273.9;274.01;94490
240104;163000;274;274.06;273.9;273.98;185320
240104;164500;273.98;273.98;273.8;273.8;139960
240104;170000;273.81;273.89;273.8;273.81;90460
240104;171500;273.83;273.98;273.8;273.8;91000
240104;173000;273.81;274;273.8;273.96;152800
240104;174500;273.96;274;273.82;273.89;111380
240104;180000;273.88;273.9;273.83;273.89;77680
240104;181500;273.9;273.9;273.82;273.85;77740
240104;183000;273.84;273.87;273.71;273.72;139300
240104;184500;274.04;274.04;274.04;274.04;347860
240104;190000;274.13;274.14;273.7;273.93;279770
240104;191500;273.93;274.29;273.91;274.2;94640
240104;193000;274.2;274.25;273.72;273.87;205750
240104;194500;273.87;274.11;273.87;274.11;47940
240104;200000;274.08;274.09;273.98;273.98;30100
240104;201500;274;274.09;273.98;274.07;21910
240104;203000;274.08;274.17;274.04;274.15;28830
240104;204500;274.15;274.18;273.79;273.98;167430
240104;210000;273.99;274.12;273.97;274.02;34610
240104;211500;274.01;274.23;274;274.21;207740
240104;213000;274.2;274.24;274.11;274.16;38750
240104;214500;274.16;274.17;274.11;274.11;12460
240104;220000;274.12;274.16;274.1;274.14;31090
240104;221500;274.14;274.2;274.1;274.17;19770
240104;223000;274.12;274.2;274.11;274.18;19710
240104;224500;274.18;274.19;274.1;274.11;22400
240104;230000;274.11;274.17;274.01;274.15;29200
240104;231500;274.1;274.16;274;274.12;86600
240104;233000;274.13;274.14;274.02;274.02;31860
240104;234500;274.03;274.14;274.02;274.12;32630
240105;100000;274.3;274.69;274.2;274.58;455980
240105;101500;274.57;274.61;274.17;274.61;294640
240105;103000;274.6;274.65;273.13;273.58;995280
240105;104500;273.58;273.59;273.4;273.44;187640
240105;110000;273.43;273.43;272.8;272.98;1256540
240105;111500;272.98;273.58;272.9;273.46;361140
240105;113000;273.47;273.47;273.19;273.24;136190
240105;114500;273.24;273.39;273.15;273.28;97330
240105;120000;273.28;273.28;273.07;273.23;104860
240105;121500;273.23;273.5;273.11;273.47;241230
240105;123000;273.48;273.48;273.06;273.11;79310
240105;124500;273.1;273.41;273.06;273.33;107720
240105;130000;273.33;273.59;273.12;273.41;399350
240105;131500;273.44;273.66;273.43;273.52;234190
240105;133000;273.52;273.65;273.38;273.39;151990
240105;134500;273.4;273.4;273;273.21;455630
240105;140000;273.2;273.4;273.18;273.29;49760
240105;141500;273.25;273.5;273.25;273.47;85720
240105;143000;273.47;273.49;273.41;273.49;33300
240105;144500;273.49;273.5;273.4;273.43;37460
240105;150000;273.41;273.5;273.13;273.45;277240
240105;151500;273.48;273.58;273.45;273.49;158260
240105;153000;273.49;273.49;273.33;273.36;71780
240105;154500;273.35;273.46;273.32;273.37;45790
240105;160000;273.38;273.42;273.32;273.4;37080
240105;161500;273.41;273.46;273.36;273.44;57980
240105;163000;273.43;273.45;273.39;273.45;61850
240105;164500;273.45;273.48;273.35;273.44;161710
240105;170000;273.45;273.49;273.33;273.39;148240
240105;171500;273.38;273.43;273.16;273.26;179630
240105;173000;273.25;273.35;273.05;273.2;114190
240105;174500;273.22;273.31;273.03;273.08;226600
240105;180000;273.1;273.28;273.08;273.25;140140
240105;181500;273.26;273.36;273.2;273.31;181580
240105;183000;273.32;273.37;273.21;273.25;84820
240105;184500;273.46;273.46;273.46;273.46;488890
240105;190000;273.25;273.46;273.25;273.44;65330
240105;191500;273.44;273.52;273.39;273.4;283290
240105;193000;273.4;273.43;273.33;273.42;28350
240105;194500;273.42;273.42;273.35;273.4;70300
240105;200000;273.4;273.42;273.4;273.42;35990
240105;201500;273.41;273.41;273.28;273.3;100240
240105;203000;273.3;273.34;273.24;273.29;27470
240105;204500;273.29;273.39;273.29;273.37;28270
240105;210000;273.36;273.42;273.36;273.4;99740
240105;211500;273.41;273.41;273.25;273.33;61380
240105;213000;273.31;273.34;273.25;273.34;33040
240105;214500;273.34;273.41;273.33;273.37;29370
240105;220000;273.35;273.39;273.33;273.37;17080
240105;221500;273.37;273.45;273.33;273.35;46570
240105;223000;273.35;273.4;273.35;273.39;21260
240105;224500;273.39;273.49;273.39;273.49;70730
240105;230000;273.49;273.51;273.44;273.49;76220
240105;231500;273.48;273.55;273.48;273.55;96990
240105;233000;273.55;273.7;273.52;273.69;157890
240105;234500;273.69;273.69;273.62;273.62;71830
240108;100000;273.59;275.3;273.53;274.95;1983490
240108;101500;274.96;275.23;274.8;275.18;1062330
240108;103000;275.19;275.4;274.9;274.97;764400
240108;104500;274.98;275.24;274.91;275.04;442280
240108;110000;275.05;275.05;274.66;274.86;608030
240108;111500;274.86;275.1;274.85;274.87;529760
240108;113000;274.88;274.95;274.74;274.8;277570
240108;114500;274.8;274.8;274.66;274.79;232570
240108;120000;274.78;274.79;274.51;274.65;321320
240108;121500;274.65;274.7;274.4;274.41;243380
240108;123000;274.42;274.7;274.36;274.68;163410
240108;124500;274.7;274.75;274.46;274.64;116530
240108;130000;274.64;274.65;274.36;274.42;167460
240108;131500;274.42;274.78;274.42;274.5;222750
240108;133000;274.5;274.78;274.46;274.78;165340
240108;134500;274.77;275.28;274.6;275.02;967950
240108;140000;275.04;275.27;274.9;275.25;258680
240108;141500;275.26;276.34;275.2;276.2;2014110
240108;143000;276.2;276.4;275.87;275.96;827850
240108;144500;275.97;276.5;275.85;276.49;708630
240108;150000;276.5;276.96;276.49;276.59;1309190
240108;151500;276.6;277;276.28;276.96;999660
240108;153000;276.96;276.96;276.42;276.62;406780
240108;154500;276.61;276.64;276.47;276.63;159730
240108;160000;276.62;276.69;276.17;276.24;296960
240108;161500;276.24;276.49;276.17;276.35;158660
240108;163000;276.35;276.47;276.24;276.35;258100
240108;164500;276.36;276.47;276.18;276.31;207490
240108;170000;276.3;276.45;275.81;276.1;448680
240108;171500;276.1;276.5;275.94;276.45;606200
240108;173000;276.46;276.48;275.8;275.8;644680
240108;174500;275.8;276.09;275.73;276.01;228140
240108;180000;276.01;276.02;275.75;275.86;309580
240108;181500;275.85;276;275.85;275.99;197650
240108;183000;275.99;276.12;275.98;276.1;248380
240108;184500;275.81;275.81;275.81;275.81;265890
240108;190000;275.83;276.5;275.82;276.17;280970
240108;191500;276.18;276.48;276.15;276.48;168500
240108;193000;276.48;276.48;276.24;276.3;112250
240108;194500;276.28;276.34;276.2;276.32;137880
240108;200000;276.33;276.35;276.28;276.3;40700
240108;201500;276.29;276.34;276.24;276.27;64550
240108;203000;276.27;276.32;276.08;276.16;149130
240108;204500;276.17;276.25;276.13;276.2;68090
240108;210000;276.22;276.35;276.17;276.28;129840
240108;211500;276.28;276.3;276.21;276.28;27490
240108;213000;276.27;276.28;276.2;276.28;34110
240108;214500;276.28;276.37;276.26;276.36;182210
240108;220000;276.36;276.47;276.33;276.42;191880
240108;221500;276.45;276.49;276.42;276.49;306880
240108;223000;276.48;276.5;276.38;276.5;79560
240108;224500;276.5;276.73;276.42;276.49;159720
240108;230000;276.5;276.56;276.43;276.49;134670
240108;231500;276.49;276.64;276.47;276.64;73920
240108;233000;276.64;276.77;276.61;276.75;212470
240108;234500;276.69;276.76;276.62;276.76;49020
240109;100000;276.94;278;275.85;275.9;1814390
240109;101500;275.91;276.18;275.72;275.98;734310
240109;103000;275.97;275.97;275.35;275.66;1438140
240109;104500;275.67;276.01;275.6;275.83;670280
240109;110000;275.83;275.83;275.5;275.72;558520
240109;111500;275.69;275.7;275.03;275.47;879780
240109;113000;275.47;275.55;275.32;275.35;507900
240109;114500;275.34;275.55;275.2;275.49;423010
240109;120000;275.49;275.61;275.45;275.57;288210
240109;121500;275.57;275.83;275.56;275.57;524910
240109;123000;275.58;275.7;275.37;275.42;299480
240109;124500;275.43;275.5;275.41;275.49;226350
240109;130000;275.5;275.5;275.37;275.38;199150
240109;131500;275.38;275.47;275.37;275.44;143430
240109;133000;275.44;275.5;275.31;275.45;413950
240109;134500;275.45;275.46;275.23;275.3;172850
240109;140000;275.3;275.42;275.13;275.14;491020
240109;141500;275.13;275.35;274.71;275.27;953980
240109;143000;275.27;275.46;275.27;275.45;311050
240109;144500;275.45;275.5;275.41;275.49;227940
240109;150000;275.49;275.5;275.01;275.13;282410
240109;151500;275.13;275.33;275;275.28;210400
240109;153000;275.26;275.39;275.1;275.39;216100
240109;154500;275.36;275.45;275.32;275.45;306230
240109;160000;275.43;275.55;275.37;275.52;281780
240109;161500;275.53;275.55;275.4;275.42;213020
240109;163000;275.43;275.55;275.39;275.43;496720
240109;164500;275.43;275.79;275.39;275.74;565040
240109;170000;275.74;275.8;275.62;275.69;164480
240109;171500;275.68;275.81;275.39;275.81;765840
240109;173000;275.81;276.05;275.74;275.99;1563400
240109;174500;275.99;276;275.88;275.92;176630
240109;180000;275.92;276.2;275.91;276;820790
240109;181500;276.02;276.11;275.78;275.84;217490
240109;183000;275.83;275.85;275.75;275.81;121810
240109;184500;276;276;276;276;265330
240109;190000;276;276.19;275.64;275.83;273000
240109;191500;275.8;275.85;275.67;275.76;130980
240109;193000;275.76;275.87;275.75;275.79;74430
240109;194500;275.8;275.83;275.78;275.83;55610
240109;200000;275.82;275.88;275.82;275.84;106720
240109;201500;275.85;276;275.84;275.96;92730
240109;203000;275.95;276;275.91;275.97;81190
240109;204500;275.97;276.06;275.91;275.97;50910
240109;210000;275.99;276.04;275.92;275.94;28520
240109;211500;275.96;275.99;275.91;275.95;66020
240109;213000;275.95;275.96;275.83;275.83;88730
240109;214500;275.85;275.97;275.83;275.96;25350
240109;220000;275.95;275.98;275.89;275.92;16860
240109;221500;275.91;276.03;275.88;275.99;94810
240109;223000;275.99;276;275.88;275.89;31250
240109;224500;275.94;275.99;275.86;275.89;52650
240109;230000;275.96;275.96;275.8;275.83;132460
240109;231500;275.83;275.83;275.18;275.5;476800
240109;233000;275.5;275.5;275.01;275.21;387070
240109;234500;275.21;275.28;275.21;275.28;50910
240110;100000;275.3;276;275.06;276;1331720
240110;101500;276;276.16;275.28;275.45;714760
240110;103000;275.43;275.94;275.3;275.62;589570
240110;104500;275.62;275.89;275.56;275.88;680350
240110;110000;275.88;275.9;275.56;275.74;439120
240110;111500;275.76;275.8;275.57;275.75;401410
240110;113000;275.72;275.92;275.65;275.66;400870
240110;114500;275.66;275.83;275.65;275.72;412130
240110;120000;275.69;275.75;275.3;275.3;1028790
240110;121500;275.3;275.46;275.2;275.38;414620
240110;123000;275.36;275.56;275.32;275.39;147780
240110;124500;275.39;275.71;275.36;275.68;268110
240110;130000;275.66;275.74;275.32;275.45;264770
240110;131500;275.46;275.5;275.33;275.39;190230
240110;133000;275.39;275.47;275.2;275.29;282960
240110;134500;275.29;275.31;275.1;275.12;376730
240110;140000;275.13;275.29;275.12;275.29;367250
240110;141500;275.28;275.39;275.26;275.3;114380
240110;143000;275.3;275.32;275.24;275.3;204360
240110;144500;275.3;275.6;275.29;275.6;525030
240110;150000;275.6;275.8;275.59;275.78;363050
240110;151500;275.78;276;275.78;275.97;903380
240110;153000;275.93;275.98;275.8;275.94;236410
240110;154500;275.94;275.95;275.75;275.85;163300
240110;160000;275.86;275.89;275.77;275.83;194110
240110;161500;275.83;275.86;275.51;275.63;300940
240110;163000;275.64;275.72;275.5;275.5;195830
240110;164500;275.5;275.51;275.2;275.23;479660
240110;170000;275.23;276;275.06;275.5;1529760
240110;171500;275.54;275.79;275.2;275.58;794520
240110;173000;275.59;275.78;275.31;275.72;574410
240110;174500;275.72;275.8;275.49;275.62;313290
240110;180000;275.62;275.8;275.62;275.64;274470
240110;181500;275.62;275.7;275.39;275.5;384620
240110;183000;275.41;275.64;275.33;275.64;186760
240110;184500;275.68;275.68;275.68;275.68;147070
240110;190000;275.55;275.75;275.46;275.61;130090
240110;191500;275.59;275.62;275.5;275.52;28770
240110;193000;275.52;275.52;275.41;275.45;43740
240110;194500;275.44;275.58;275.4;275.47;100680
240110;200000;275.46;275.59;275.34;275.4;82610
240110;201500;275.41;275.47;275.29;275.29;86560
240110;203000;275.29;275.4;275.25;275.29;45250
240110;204500;275.29;275.36;275.28;275.32;88260
240110;210000;275.32;275.32;275.11;275.19;191790
240110;211500;275.18;275.25;273.64;274.35;1701220
240110;213000;274.29;274.71;274.1;274.71;476010
240110;214500;274.71;274.71;274.48;274.5;159410
240110;220000;274.49;274.59;274.4;274.57;192930
240110;221500;274.57;274.62;274.4;274.55;131890
