<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
USD000UTSTOM;15;240103;070000;90.9575;801000
USD000UTSTOM;15;240103;071500;90.935;604000
USD000UTSTOM;15;240103;073000;90.945;1157000
USD000UTSTOM;15;240103;074500;90.905;3796000
USD000UTSTOM;15;240103;080000;90.905;3083000
USD000UTSTOM;15;240103;081500;90.9025;3007000
USD000UTSTOM;15;240103;083000;91;5144000
USD000UTSTOM;15;240103;084500;90.925;1026000
USD000UTSTOM;15;240103;090000;91.05;11256000
USD000UTSTOM;15;240103;091500;90.9775;1206000
USD000UTSTOM;15;240103;093000;90.9575;1298000
USD000UTSTOM;15;240103;094500;90.975;726000
USD000UTSTOM;15;240103;100000;91.205;7868000
USD000UTSTOM;15;240103;101500;91.2075;8142000
USD000UTSTOM;15;240103;103000;91.3175;10116000
USD000UTSTOM;15;240103;104500;91.2725;7604000
USD000UTSTOM;15;240103;110000;91.2575;7130000
USD000UTSTOM;15;240103;111500;91.335;3626000
USD000UTSTOM;15;240103;113000;91.29;6312000
USD000UTSTOM;15;240103;114500;91.34;4757000
USD000UTSTOM;15;240103;120000;91.38;8540000
USD000UTSTOM;15;240103;121500;91.3925;2688000
USD000UTSTOM;15;240103;123000;91.4475;937000
USD000UTSTOM;15;240103;124500;91.425;3627000
USD000UTSTOM;15;240103;130000;91.5325;8564000
USD000UTSTOM;15;240103;131500;91.6925;6962000
USD000UTSTOM;15;240103;133000;91.7025;4360000
USD000UTSTOM;15;240103;134500;91.5775;6914000
USD000UTSTOM;15;240103;140000;91.76;4412000
USD000UTSTOM;15;240103;141500;91.61;4972000
USD000UTSTOM;15;240103;143000;91.7625;4749000
USD000UTSTOM;15;240103;144500;91.7;4127000
USD000UTSTOM;15;240103;150000;91.78;3700000
USD000UTSTOM;15;240103;151500;91.7175;805000
USD000UTSTOM;15;240103;153000;91.91;6996000
USD000UTSTOM;15;240103;154500;91.8975;4381000
USD000UTSTOM;15;240103;160000;91.8225;761000
USD000UTSTOM;15;240103;161500;91.73;1236000
USD000UTSTOM;15;240103;163000;91.6525;903000
USD000UTSTOM;15;240103;164500;91.74;594000
USD000UTSTOM;15;240103;170000;91.71;728000
USD000UTSTOM;15;240103;171500;91.69;3023000
USD000UTSTOM;15;240103;173000;91.735;1176000
USD000UTSTOM;15;240103;174500;91.7325;208000
USD000UTSTOM;15;240103;180000;91.7125;1997000
USD000UTSTOM;15;240103;181500;91.8325;673000
USD000UTSTOM;15;240103;183000;91.835;1472000
USD000UTSTOM;15;240103;184500;92;1335000
USD000UTSTOM;15;240104;070000;91.8625;409000
USD000UTSTOM;15;240104;071500;91.91;613000
USD000UTSTOM;15;240104;073000;92;158000
USD000UTSTOM;15;240104;074500;92.05;333000
USD000UTSTOM;15;240104;080000;92.2275;1772000
USD000UTSTOM;15;240104;081500;92.2825;28000
USD000UTSTOM;15;240104;083000;92.33;2587000
USD000UTSTOM;15;240104;084500;92.1575;2691000
USD000UTSTOM;15;240104;090000;92.1575;3665000
USD000UTSTOM;15;240104;091500;91.945;5225000
USD000UTSTOM;15;240104;093000;91.72;1416000
USD000UTSTOM;15;240104;094500;91.9025;2304000
USD000UTSTOM;15;240104;100000;91.5325;5654000
USD000UTSTOM;15;240104;101500;91.5675;7315000
USD000UTSTOM;15;240104;103000;91.33;8656000
USD000UTSTOM;15;240104;104500;91.2225;13099000
USD000UTSTOM;15;240104;110000;91.2575;5119000
USD000UTSTOM;15;240104;111500;91.2525;9126000
USD000UTSTOM;15;240104;113000;91.1975;3928000
USD000UTSTOM;15;240104;114500;91.43;7078000
USD000UTSTOM;15;240104;120000;91.52;2830000
USD000UTSTOM;15;240104;121500;91.3325;4431000
USD000UTSTOM;15;240104;123000;91.285;4301000
USD000UTSTOM;15;240104;124500;91.1625;7193000
USD000UTSTOM;15;240104;130000;91.4025;11380000
USD000UTSTOM;15;240104;131500;91.2925;3006000
USD000UTSTOM;15;240104;133000;91.3575;3108000
USD000UTSTOM;15;240104;134500;91.46;873000
USD000UTSTOM;15;240104;140000;91.49;1207000
USD000UTSTOM;15;240104;141500;91.56;4472000
USD000UTSTOM;15;240104;143000;91.55;1014000
USD000UTSTOM;15;240104;144500;91.5875;1367000
USD000UTSTOM;15;240104;150000;91.5;3469000
USD000UTSTOM;15;240104;151500;91.555;808000
USD000UTSTOM;15;240104;153000;91.54;218000
USD000UTSTOM;15;240104;154500;91.4225;1344000
USD000UTSTOM;15;240104;160000;91.495;4459000
USD000UTSTOM;15;240104;161500;91.2725;2198000
USD000UTSTOM;15;240104;163000;91.3225;1442000
USD000UTSTOM;15;240104;164500;91.3175;393000
USD000UTSTOM;15;240104;170000;91.3325;1916000
USD000UTSTOM;15;240104;171500;91.43;702000
USD000UTSTOM;15;240104;173000;91.605;1421000
USD000UTSTOM;15;240104;174500;91.41;592000
USD000UTSTOM;15;240104;180000;91.485;1075000
USD000UTSTOM;15;240104;181500;91.35;496000
USD000UTSTOM;15;240104;183000;91.305;2046000
USD000UTSTOM;15;240104;184500;91.3325;1907000
USD000UTSTOM;15;240105;071500;91.4575;18000
USD000UTSTOM;15;240105;074500;91.35;34000
USD000UTSTOM;15;240105;080000;91.55;129000
USD000UTSTOM;15;240105;081500;91.53;328000
USD000UTSTOM;15;240105;084500;91.5;461000
USD000UTSTOM;15;240105;090000;91.4975;2766000
USD000UTSTOM;15;240105;091500;91.465;2410000
USD000UTSTOM;15;240105;093000;91.65;1980000
USD000UTSTOM;15;240105;094500;91.6825;2065000
USD000UTSTOM;15;240105;100000;91.3825;5079000
USD000UTSTOM;15;240105;101500;91.305;1577000
USD000UTSTOM;15;240105;103000;91.21;8390000
USD000UTSTOM;15;240105;104500;91.24;2511000
USD000UTSTOM;15;240105;110000;91.035;4903000
USD000UTSTOM;15;240105;111500;91.055;3837000
USD000UTSTOM;15;240105;113000;91.1375;5305000
USD000UTSTOM;15;240105;114500;91.2;12930000
USD000UTSTOM;15;240105;120000;91.0325;9478000
USD000UTSTOM;15;240105;121500;91.07;5147000
USD000UTSTOM;15;240105;123000;91.1;5082000
USD000UTSTOM;15;240105;124500;91.0775;4223000
USD000UTSTOM;15;240105;130000;91.09;7389000
USD000UTSTOM;15;240105;131500;91.0375;6263000
USD000UTSTOM;15;240105;133000;91.04;1974000
USD000UTSTOM;15;240105;134500;91;3210000
USD000UTSTOM;15;240105;140000;90.92;847000
USD000UTSTOM;15;240105;141500;91.06;1787000
USD000UTSTOM;15;240105;143000;91.08;932000
USD000UTSTOM;15;240105;144500;91.01;594000
USD000UTSTOM;15;240105;150000;91.0025;392000
USD000UTSTOM;15;240105;151500;91.0625;1952000
USD000UTSTOM;15;240105;153000;91.1525;1000000
USD000UTSTOM;15;240105;154500;91.08;673000
USD000UTSTOM;15;240105;160000;91.1475;304000
USD000UTSTOM;15;240105;161500;91.09;590000
USD000UTSTOM;15;240105;163000;91.105;1356000
USD000UTSTOM;15;240105;164500;91.0325;529000
USD000UTSTOM;15;240105;170000;91.135;1096000
USD000UTSTOM;15;240105;171500;91.09;2226000
USD000UTSTOM;15;240105;173000;91.09;2489000
USD000UTSTOM;15;240105;174500;91.005;926000
USD000UTSTOM;15;240105;180000;90.81;3020000
USD000UTSTOM;15;240105;181500;90.8825;994000
USD000UTSTOM;15;240105;183000;90.855;671000
USD000UTSTOM;15;240105;184500;90.95;588000
USD000UTSTOM;15;240108;070000;91.2375;14897000
USD000UTSTOM;15;240108;071500;91.305;30000
USD000UTSTOM;15;240108;073000;91.3575;482000
USD000UTSTOM;15;240108;074500;91.35;126000
USD000UTSTOM;15;240108;080000;91.3325;531000
USD000UTSTOM;15;240108;081500;91.3075;271000
USD000UTSTOM;15;240108;083000;91.2525;2086000
USD000UTSTOM;15;240108;084500;91.27;1551000
USD000UTSTOM;15;240108;090000;91.125;1930000
USD000UTSTOM;15;240108;091500;91.14;273000
USD000UTSTOM;15;240108;093000;91.0925;1729000
USD000UTSTOM;15;240108;094500;91.0975;2417000
USD000UTSTOM;15;240108;100000;91.1975;11390000
USD000UTSTOM;15;240108;101500;91.0325;7241000
USD000UTSTOM;15;240108;103000;91.055;6632000
USD000UTSTOM;15;240108;104500;91.095;7951000
USD000UTSTOM;15;240108;110000;91.08;12411000
USD000UTSTOM;15;240108;111500;91.1;7478000
USD000UTSTOM;15;240108;113000;90.9725;13292000
USD000UTSTOM;15;240108;114500;90.9275;7552000
USD000UTSTOM;15;240108;120000;90.66;10777000
USD000UTSTOM;15;240108;121500;90.535;6538000
USD000UTSTOM;15;240108;123000;90.7575;9663000
USD000UTSTOM;15;240108;124500;90.72;3730000
USD000UTSTOM;15;240108;130000;90.61;4351000
USD000UTSTOM;15;240108;131500;90.635;4608000
USD000UTSTOM;15;240108;133000;90.63;4642000
USD000UTSTOM;15;240108;134500;90.785;3103000
USD000UTSTOM;15;240108;140000;90.8675;5449000
USD000UTSTOM;15;240108;141500;90.9875;3688000
USD000UTSTOM;15;240108;143000;91.0175;2253000
USD000UTSTOM;15;240108;144500;91.2925;4613000
USD000UTSTOM;15;240108;150000;91.3825;5702000
USD000UTSTOM;15;240108;151500;91.275;4297000
USD000UTSTOM;15;240108;153000;91.4575;3073000
USD000UTSTOM;15;240108;154500;91.435;1114000
USD000UTSTOM;15;240108;160000;91.4925;856000
USD000UTSTOM;15;240108;161500;91.54;3094000
USD000UTSTOM;15;240108;163000;91.5475;1683000
USD000UTSTOM;15;240108;164500;91.5275;455000
USD000UTSTOM;15;240108;170000;91.365;1512000
USD000UTSTOM;15;240108;171500;91.4225;766000
USD000UTSTOM;15;240108;173000;91.405;262000
USD000UTSTOM;15;240108;174500;91.3825;292000
USD000UTSTOM;15;240108;180000;91.185;978000
USD000UTSTOM;15;240108;181500;91.3375;603000
USD000UTSTOM;15;240108;183000;91.33;666000
USD000UTSTOM;15;240108;184500;91.1525;1100000
USD000UTSTOM;15;240109;070000;91.185;3488000
USD000UTSTOM;15;240109;071500;91.415;1979000
USD000UTSTOM;15;240109;073000;91.4075;1751000
USD000UTSTOM;15;240109;074500;91.3925;715000
USD000UTSTOM;15;240109;080000;91.3;4504000
USD000UTSTOM;15;240109;081500;91.245;6206000
USD000UTSTOM;15;240109;083000;91.115;7425000
USD000UTSTOM;15;240109;084500;91.14;5117000
USD000UTSTOM;15;240109;090000;91.1225;18223000
USD000UTSTOM;15;240109;091500;91.1125;11233000
USD000UTSTOM;15;240109;093000;91.05;4344000
USD000UTSTOM;15;240109;094500;91.0875;16823000
USD000UTSTOM;15;240109;100000;90.8875;38710000
USD000UTSTOM;15;240109;101500;90.665;77212000
USD000UTSTOM;15;240109;103000;90.7275;31566000
USD000UTSTOM;15;240109;104500;90.6675;46794000
USD000UTSTOM;15;240109;110000;90.575;39865000
USD000UTSTOM;15;240109;111500;90.6975;30164000
USD000UTSTOM;15;240109;113000;90.67;21021000
USD000UTSTOM;15;240109;114500;90.6625;22681000
USD000UTSTOM;15;240109;120000;90.7225;36413000
USD000UTSTOM;15;240109;121500;90.5;59909000
USD000UTSTOM;15;240109;123000;90.4125;58240000
USD000UTSTOM;15;240109;124500;90.2925;31979000
USD000UTSTOM;15;240109;130000;90.2975;18628000
USD000UTSTOM;15;240109;131500;90.165;25752000
USD000UTSTOM;15;240109;133000;89.8625;36220000
USD000UTSTOM;15;240109;134500;89.93;23410000
USD000UTSTOM;15;240109;140000;90.005;32484000
USD000UTSTOM;15;240109;141500;89.925;27005000
USD000UTSTOM;15;240109;143000;89.85;34397000
USD000UTSTOM;15;240109;144500;89.8425;10771000
USD000UTSTOM;15;240109;150000;89.785;23935000
USD000UTSTOM;15;240109;151500;89.66;31888000
USD000UTSTOM;15;240109;153000;89.7375;20546000
USD000UTSTOM;15;240109;154500;89.655;24306000
USD000UTSTOM;15;240109;160000;89.605;12409000
USD000UTSTOM;15;240109;161500;89.42;45578000
USD000UTSTOM;15;240109;163000;89.1225;36766000
USD000UTSTOM;15;240109;164500;89.64;31976000
USD000UTSTOM;15;240109;170000;89.6025;26681000
USD000UTSTOM;15;240109;171500;89.45;9636000
