,country,code,year,hdi,epi,gni_per_capita,gdp_per_capita,co2_emission_per_capita,forest_area,ghg_emission,population
0,Afghanistan,AFG,2000,0.12,..,,,0.0388886404336861,12084.4,13890.0003433228,19542982.0
1,Afghanistan,AFG,2005,0.16,..,,6226199249.32211,0.063495466170261,12084.4,16229.9995422363,24411191.0
2,Afghanistan,AFG,2007,0.16,..,,9715761649.79443,0.0683310586911881,12084.4,17139.9993896484,25903301.0
3,Afghanistan,AFG,2010,0.18,..,520.0,15633856787.0425,0.252220037661822,12084.4,27120.0008392334,28189672.0
4,Afghanistan,AFG,2015,0.25,,610.0,19998156214.3988,0.176278015184889,12084.4,27090.0001525879,33753499.0
5,Albania,ALB,2000,0.42,"59,0",1100.0,3480355258.04122,1.026213108529,7693.0,8140.00034332275,3089027.0
6,Albania,ALB,2005,0.46,"65,2",2620.0,8052073539.38058,1.33820939947885,7756.85,8949.99980926514,3011487.0
7,Albania,ALB,2007,0.51,"66,9",3460.0,10677324144.4289,1.3939313702533,7782.39,8859.99965667725,2970017.0
8,Albania,ALB,2010,0.53,"65,9",4360.0,11926922828.9911,1.52762366260495,7820.7,8899.99961853027,2913021.0
9,Albania,ALB,2015,0.59,,4390.0,11386850129.8411,1.60377514987108,7891.875,9220.00026702881,2880703.0
10,Algeria,DZA,2000,0.35,"46,8",1610.0,54790392746.1939,2.60116932065548,15790.0,162619.995117188,30774621.0
11,Algeria,DZA,2005,0.39,"49,0",2730.0,103198223709.439,2.85799339804472,17485.0,188020.004272461,32956690.0
12,Algeria,DZA,2007,0.4,"50,3",3620.0,134977082623.78,3.02349702992544,18163.0,198830.001831055,33983827.0
13,Algeria,DZA,2010,0.41,"48,6",4490.0,161207270185.25,3.18437374165018,19180.0,209869.995117188,35856344.0
14,Algeria,DZA,2015,0.45,,4880.0,165979279263.174,3.9518851802378,19560.0,263140.014648438,39543154.0
15,Angola,AGO,2000,0.17,"42,8",360.0,9129594818.60749,0.988162665238182,777086.1,57639.9993896484,16394062.0
16,Angola,AGO,2005,0.22,"47,3",1370.0,36970918699.2523,0.812813415503919,749333.05,66959.9990844727,19450959.0
17,Angola,AGO,2007,0.24,"48,1",2460.0,65266452081.386,0.811585642009439,738231.83,70199.9969482422,20909684.0
18,Angola,AGO,2010,0.24,"47,6",3220.0,81699526880.8079,0.975852538278588,721580.0,77730.0033569336,23364185.0
19,Angola,AGO,2015,0.27,,3880.0,87219300384.5072,1.1252244580544,693826.9,87360.0006103516,28127721.0
20,Argentina,ARG,2000,0.56,"51,7",7430.0,284203750000.0,3.56803987960974,333780.0,290820.007324219,37070774.0
21,Argentina,ARG,2005,0.61,"53,8",4240.0,198737095012.282,3.73657879363165,317960.0,322739.990234375,39070501.0
22,Argentina,ARG,2007,0.63,"56,0",6480.0,287530508430.568,4.08289558524386,311632.0,349820.007324219,39876111.0
23,Argentina,ARG,2010,0.65,"56,5",9270.0,423627422092.49,4.09968971416256,302140.0,339609.985351563,40788453.0
24,Argentina,ARG,2015,0.7,,12600.0,594749285413.212,4.30191387639872,290970.0,370000.0,43131966.0
25,Armenia,ARM,2000,0.51,"44,6",640.0,1911563668.85006,1.12355188837196,3326.4,5989.99977111816,3168523.0
26,Armenia,ARM,2005,0.54,"46,0",1500.0,4900469950.09033,1.46361666834478,3316.0,7320.00017166138,3047246.0
27,Armenia,ARM,2007,0.56,"46,5",2690.0,9206301700.39619,1.73079880337397,3311.84,8369.99988555908,3004393.0
28,Armenia,ARM,2010,0.57,"47,5",3390.0,9260284937.79781,1.47303752633831,3305.6,7559.99994277954,2946293.0
29,Armenia,ARM,2015,0.58,,4080.0,10553337672.9872,1.85507171122992,3295.2,9159.99984741211,2878595.0
30,Australia,AUS,2000,0.81,"56,3",21280.0,415851284305.721,17.8387478097675,1318141.0,596960.021972656,19028802.0
31,Australia,AUS,2005,0.84,"56,4",30730.0,695328522026.763,18.3423134132321,1306801.0,560380.004882813,20176844.0
32,Australia,AUS,2007,0.85,"56,9",37370.0,854427259166.209,18.5210774422543,1302265.0,606469.970703125,20827622.0
33,Australia,AUS,2010,0.87,"56,6",46740.0,1148610059015.24,17.5900692657153,1295461.0,566440.002441406,22031750.0
34,Australia,AUS,2015,0.89,,60490.0,1350615691821.28,15.863288004258,1330945.0,596979.98046875,23815995.0
35,Austria,AUT,2000,0.69,"67,9",26810.0,197289625479.906,7.92978551259517,38381.4,78650.0015258789,8011566.0
36,Austria,AUT,2005,0.71,"68,0",38770.0,316092273276.015,9.26611355969716,38506.7,90349.9984741211,8227829.0
37,Austria,AUT,2007,0.72,"69,0",44540.0,389185571506.052,8.58780176061628,38556.82,85059.9975585938,8295487.0
38,Austria,AUT,2010,0.74,"68,9",49750.0,392275107258.667,8.36501490116616,38632.0,83510.0021362305,8363404.0
39,Austria,AUT,2015,0.79,,47480.0,381971148530.543,7.31715887345687,38811.9,76339.9963378906,8642699.0
40,Azerbaijan,AZE,2000,0.42,"33,7",630.0,5272798390.70183,3.44034987451234,9872.2,37740.0016784668,8048600.0
41,Azerbaijan,AZE,2005,0.47,"40,0",1290.0,13245716099.0057,3.57966371128265,10098.573,42869.9989318848,8391850.0
42,Azerbaijan,AZE,2007,0.5,"42,0",2730.0,33050343782.7759,3.2197917752283,10189.122,43290.0009155273,8581300.0
43,Azerbaijan,AZE,2010,0.52,"43,1",5410.0,52909294791.9262,2.68490259313911,10324.946,42020.0004577637,9054332.0
44,Azerbaijan,AZE,2015,0.52,,6610.0,53074370486.0433,3.29245286882946,10778.87,50520.0004577637,9649341.0
45,Bahamas,BHS,2000,0.49,..,24170.0,8076470000.0,6.86124290030583,5098.6,2430.0000667572,325014.0
46,Bahamas,BHS,2005,0.52,..,28560.0,9836200000.0,6.06663492971855,5098.6,2349.99990463257,347804.0
47,Bahamas,BHS,2007,0.53,..,29330.0,10618340000.0,5.9273173451183,5098.6,2369.99988555908,357666.0
48,Bahamas,BHS,2010,0.57,..,26900.0,10095760000.0,5.57234382355507,5098.6,2359.99989509583,373272.0
49,Bahamas,BHS,2015,0.58,,27450.0,11861900000.0,5.62774871757862,5098.6,2519.99998092651,392697.0
50,Bahrain,BHR,2000,0.48,..,10220.0,9062898936.17021,22.3208638230523,3.7,25440.0005340576,711442.0
51,Bahrain,BHR,2005,0.51,..,16310.0,15968723404.2553,22.9399254857771,4.45,32090.0001525879,901921.0
52,Bahrain,BHR,2007,0.53,..,19570.0,21730000000.0,22.1040775295714,4.75,35790.0009155273,1040532.0
53,Bahrain,BHR,2010,0.55,..,19390.0,25713271276.5957,21.3983490339881,5.2,40810.001373291,1213645.0
54,Bahrain,BHR,2015,0.57,,22740.0,31050638297.8723,22.4499354132727,6.0,48869.9989318848,1362142.0
55,Bangladesh,BGD,2000,0.23,"38,2",430.0,53369787318.6245,0.167578314629207,19203.281,115459.999084473,129193327.0
56,Bangladesh,BGD,2005,0.24,"40,5",540.0,69442943089.4309,0.232129713068738,19043.351,133110.000610352,140912590.0
57,Bangladesh,BGD,2007,0.27,"42,0",600.0,79611888213.148,0.263570649068447,18979.379,142169.998168945,144135934.0
58,Bangladesh,BGD,2010,0.29,"42,6",800.0,115279077465.226,0.340855944444599,18883.42,163179.992675781,148391139.0
59,Bangladesh,BGD,2015,0.33,,1210.0,195078678697.23,0.457390879055986,18834.0,192179.992675781,157830000.0
60,Barbados,BRB,2000,0.61,..,11060.0,3059500000.0,4.68530966496257,63.0,3589.99991416931,264657.0
61,Barbados,BRB,2005,0.62,..,13580.0,3819500000.0,5.26946625160834,63.0,3759.99999046326,269477.0
62,Barbados,BRB,2007,0.67,..,15940.0,4674007450.0,5.45232172777254,63.0,3839.99991416931,271444.0
63,Barbados,BRB,2010,0.7,..,15960.0,4529928300.0,5.64229299997554,63.0,3950.00004768372,274711.0
64,Barbados,BRB,2015,0.66,,16170.0,4724691200.0,4.56698173180853,63.0,3740.00000953674,278083.0
65,Belarus,BLR,2000,0.6,"49,4",1380.0,12736856827.9847,5.30481652088609,82730.0,78900.0015258789,9979610.0
66,Belarus,BLR,2005,0.63,"51,0",2820.0,30207567316.6202,5.87546545880183,84515.0,83069.9996948242,9663915.0
67,Belarus,BLR,2007,0.58,"53,3",4310.0,45277399813.6067,6.02973380643947,85229.0,85089.9963378906,9560953.0
