,code,year,hdi,country,epi,gni_per_capita,gdp_per_capita,co2_emission_per_capita,forest_area,ghg_emission,population
0,AFG,1990,0.273,,,,,,,,
1,AFG,1991,0.279,,,,,,,,
2,AFG,1992,0.287,,,,,,,,
3,AFG,1993,0.297,,,,,,,,
4,AFG,1994,0.292,,,,,,,,
5,AFG,1995,0.31,,,,,,,,
6,AFG,1996,0.319,,,,,,,,
7,AFG,1997,0.323,,,,,,,,
8,AFG,1998,0.324,,,,,,,,
9,AFG,1999,0.332,,,,,,,,
10,AFG,2000,0.335,Afghanistan,..,,,0.0388886404336861,12084.4,13890.0003433228,19542982.0
11,AFG,2001,0.337,Afghanistan,..,,,0.037077233197309,12084.4,12250.0,19688632.0
12,AFG,2002,0.362,Afghanistan,..,,3854235264.37171,0.0490470197787003,12084.4,14890.0003433228,21000256.0
13,AFG,2003,0.376,Afghanistan,..,,4539500884.0479,0.0538747195803349,12084.4,15529.9997329712,22645130.0
14,AFG,2004,0.392,Afghanistan,..,,5220823684.66085,0.0437301352730113,12084.4,15310.0004196167,23553551.0
15,AFG,2005,0.4,Afghanistan,..,,6226199249.32211,0.063495466170261,12084.4,16229.9995422363,24411191.0
16,AFG,2006,0.409,Afghanistan,..,,6971379033.26327,0.0691743844762328,12084.4,16739.9997711182,25442944.0
17,AFG,2007,0.424,Afghanistan,..,,9715761649.79443,0.0683310586911881,12084.4,17139.9993896484,25903301.0
18,AFG,2008,0.43,Afghanistan,..,,10249767311.213,0.134709695975708,12084.4,20540.0009155273,26427199.0
19,AFG,2009,0.44,Afghanistan,..,460.0,12154835707.8987,0.178197750875713,12084.4,22629.9991607666,27385307.0
20,AFG,2010,0.448,Afghanistan,..,520.0,15633856787.0425,0.252220037661822,12084.4,27120.0008392334,28189672.0
21,AFG,2011,0.456,,,550.0,18190410820.6235,0.305307954864333,12084.4,29409.9998474121,29249157.0
