,code,year,hdi,country,epi,population,gdp_per_capita,co2_emission_per_capita,forest_area,ghg_emission
0,AFG,1950,0.04,,,,,,,
1,ALB,1950,0.23,,,,,,,
2,DZA,1950,0.11,,,,,,,
3,AGO,1950,0.04,,,,,,,
4,ARG,1950,0.34,,,,,,,
5,AUS,1950,0.47,,,,,,,
6,AUT,1950,0.42,,,,,,,
7,BHS,1950,0.34,,,,,,,
8,BHR,1950,0.15,,,,,,,
9,BGD,1950,0.09,,,,,,,
10,BRB,1950,0.31,,,,,,,
11,BEL,1950,0.39,,,,,,,
12,BLZ,1950,0.27,,,,,,,
13,BEN,1950,0.06,,,,,,,
14,BOL,1950,0.14,,,,,,,
15,BWA,1950,0.1,,,,,,,
16,BRA,1950,0.19,,,,,,,
17,BGR,1950,0.3,,,,,,,
18,BFA,1950,0.04,,,,,,,
19,BDI,1950,0.06,,,,,,,
20,KHM,1950,0.09,,,,,,,
21,CMR,1950,0.08,,,,,,,
22,CAN,1950,0.47,,,,,,,
23,CPV,1950,0.11,,,,,,,
24,CAF,1950,0.05,,,,,,,
25,TCD,1950,0.03,,,,,,,
26,CHL,1950,0.28,,,,,,,
27,CHN,1950,0.12,,,,,,,
28,COL,1950,0.2,,,,,,,
29,COG,1950,0.08,,,,,,,
30,CRI,1950,0.26,,,,,,,
31,CIV,1950,0.06,,,,,,,
32,CUB,1950,0.28,,,,,,,
33,CYP,1950,0.29,,,,,,,
34,CZE,1950,0.39,,,,,,,
35,COD,1950,0.08,,,,,,,
36,DNK,1950,0.44,,,,,,,
37,DJI,1950,0.08,,,,,,,
38,DOM,1950,0.16,,,,,,,
39,ECU,1950,0.19,,,,,,,
40,EGY,1950,0.13,,,,,,,
41,SLV,1950,0.16,,,,,,,
42,GNQ,1950,0.1,,,,,,,
43,ERI,1950,0.05,,,,,,,
44,SWZ,1950,0.1,,,,,,,
45,ETH,1950,0.04,,,,,,,
46,FIN,1950,0.42,,,,,,,
47,FRA,1950,0.41,,,,,,,
48,GAB,1950,0.09,,,,,,,
49,GMB,1950,0.06,,,,,,,
50,DEU,1950,0.43,,,,,,,
51,GHA,1950,0.12,,,,,,,
52,GRC,1950,0.29,,,,,,,
53,GTM,1950,0.14,,,,,,,
54,GIN,1950,0.04,,,,,,,
55,GNB,1950,0.04,,,,,,,
56,GUY,1950,0.24,,,,,,,
57,HTI,1950,0.09,,,,,,,
58,HND,1950,0.15,,,,,,,
59,HKG,1950,0.23,,,,,,,
60,HUN,1950,0.35,,,,,,,
61,IND,1950,0.11,,,,,,,
62,IDN,1950,0.1,,,,,,,
63,IRN,1950,0.12,,,,,,,
64,IRQ,1950,0.11,,,,,,,
65,IRL,1950,0.4,,,,,,,
66,ISR,1950,0.32,,,,,,,
67,ITA,1950,0.33,,,,,,,
68,JAM,1950,0.26,,,,,,,
69,JPN,1950,0.36,,,,,,,
70,JOR,1950,0.13,,,,,,,
71,KEN,1950,0.11,,,,,,,
72,KWT,1950,0.19,,,,,,,
73,LAO,1950,0.08,,,,,,,
74,LBN,1950,0.23,,,,,,,
75,LSO,1950,0.13,,,,,,,
76,LBR,1950,0.08,,,,,,,
77,LBY,1950,0.11,,,,,,,
78,MDG,1950,0.12,,,,,,,
79,MWI,1950,0.07,,,,,,,
80,MYS,1950,0.18,,,,,,,
81,MLI,1950,0.04,,,,,,,
82,MRT,1950,0.04,,,,,,,
83,MUS,1950,0.21,,,,,,,
84,MEX,1950,0.21,,,,,,,
85,MAR,1950,0.1,,,,,,,
86,MOZ,1950,0.06,,,,,,,
87,MMR,1950,0.1,,,,,,,
88,NAM,1950,0.12,,,,,,,
89,NPL,1950,0.04,,,,,,,
90,NLD,1950,0.48,,,,,,,
91,NZL,1950,0.49,,,,,,,
92,NIC,1950,0.15,,,,,,,
93,NER,1950,0.03,,,,,,,
94,NGA,1950,0.08,,,,,,,
95,NOR,1950,0.46,,,,,,,
96,OMN,1950,0.06,,,,,,,
97,PAK,1950,0.09,,,,,,,
98,PAN,1950,0.25,,,,,,,
99,PRY,1950,0.26,,,,,,,
100,PER,1950,0.19,,,,,,,
101,PHL,1950,0.22,,,,,,,
102,POL,1950,0.34,,,,,,,
103,PRT,1950,0.23,,,,,,,
104,PRI,1950,0.31,,,,,,,
105,QAT,1950,0.16,,,,,,,
106,ROU,1950,0.26,,,,,,,
107,RUS,1950,0.35,,,,,,,
108,RWA,1950,0.08,,,,,,,
109,SAU,1950,0.06,,,,,,,
110,SEN,1950,0.06,,,,,,,
111,SRB,1950,0.26,,,,,,,
112,SLE,1950,0.06,,,,,,,
113,SGP,1950,0.24,,,,,,,
114,ZAF,1950,0.19,,,,,,,
115,KOR,1950,0.19,,,,,,,
116,ESP,1950,0.3,,,,,,,
117,LKA,1950,0.24,,,,,,,
118,SDN,1950,0.07,,,,,,,
119,SWE,1950,0.45,,,,,,,
120,CHE,1950,0.44,,,,,,,
121,SYR,1950,0.16,,,,,,,
122,TWN,1950,0.21,,,,,,,
123,TZA,1950,0.06,,,,,,,
124,THA,1950,0.18,,,,,,,
