Возраст,Количество иждивенцев,Доход,Срок проживания в регионе,Оценка автомобиля заемщика,Размер кредита
"41,00","3,00","37 600,00","10,00","38 000,00","380 000,00"
"33,00","1,00","29 900,00","5,00","29 000,00","291 000,00"
"54,00","4,00","17 300,00","19,00","20 000,00","228 000,00"
"28,00","1,00","26 100,00","3,00","24 000,00","247 000,00"
"35,00","2,00","27 100,00","7,00","26 000,00","266 000,00"
"30,00","1,00","20 250,00","4,00","23 000,00","137 000,00"
"26,00","0,00","14 600,00","2,00","12 000,00","128 000,00"
"33,00","2,00","38 400,00","8,00","37 000,00","378 000,00"
"44,50","2,00","8 800,00","13,00","9 000,00","92 000,00"
"38,00","2,00","23 400,00","8,00","23 000,00","232 000,00"
"39,00","3,00","37 100,00","9,00","37 000,00","323 500,00"
"19,00","2,00","8 000,00","12,00","50 000,00","200 000,00"
"48,00","3,00","9 500,00","15,00","11 000,00","103 000,00"
"30,00","1,00","33 800,00","3,00","32 000,00","328 000,00"
"45,00","3,00","4 600,00","14,00","5 000,00","49 000,00"
"43,00","2,00","3 800,00","13,00","4 000,00","39 000,00"
"35,00","2,00","30 500,00","7,00","30 000,00","301 000,00"
"36,00","2,00","26 200,00","8,00","26 000,00","259 000,00"
"49,00","3,00","10 200,00","16,00","12 000,00","111 000,00"
"52,00","4,00","40 300,00","16,00","32 000,00","422 000,00"
"48,00","3,00","11 400,00","15,00","13 000,00","122 000,00"
"40,00","1,00","5 500,00","11,00","5 000,00","52 000,00"
"37,00","2,00","38 000,00","8,00","38 000,00","380 000,00"
"34,00","1,00","20 800,00","6,00","20 000,00","201 000,00"
"34,00","1,00","27 200,00","6,00","26 000,00","265 000,00"
"34,00","2,00","36 500,00","6,00","36 000,00","360 000,00"
"51,00","3,00","18 600,00","17,00","21 000,00","200 000,00"
"44,00","2,00","11 300,00","14,00","12 000,00","117 000,00"
"28,00","0,00","8 500,00","3,00","6 000,00","67 000,00"
"41,00","2,00","15 800,00","11,00","16 000,00","159 000,00"
"44,50","2,00","8 300,00","12,00","9 000,00","84 000,00"
"30,00","1,00","20 250,00","4,00","17 000,00","182 000,00"
"41,00","2,00","30 500,00","10,00","31 000,00","308 000,00"
"44,00","3,00","21 900,00","12,00","23 000,00","228 000,00"
"50,00","3,00","13 800,00","16,00","16 000,00","149 000,00"
"28,00","1,00","22 300,00","3,00","20 000,00","208 000,00"
"38,00","1,00","7 500,00","9,00","7 000,00","71 000,00"
"21,00","3,00","8 200,00","11,00","48 000,00","250 000,00"
"38,00","2,00","31 900,00","8,00","32 000,00","319 000,00"
"29,00","1,00","25 000,00","3,00","23 000,00","237 000,00"
"54,00","4,00","23 100,00","18,00","26 000,00","249 000,00"
"33,00","2,00","31 800,00","5,00","31 000,00","311 000,00"
"37,00","2,00","23 500,00","8,00","23 000,00","232 000,00"
"48,00","3,00","7 700,00","15,00","9 000,00","85 000,00"
"44,00","3,00","25 900,00","12,00","27 000,00","265 000,00"
"53,00","4,00","16 700,00","18,00","23 000,00","183 000,00"
"51,50","3,00","16 700,00","17,00","19 000,00","180 000,00"
"36,00","1,00","2 600,00","9,00","2 000,00","19 000,00"
"37,00","2,00","28 800,00","8,00","28 000,00","286 000,00"
"50,00","3,00","18 400,00","16,00","20 000,00","196 000,00"
"36,00","1,00","3 200,00","8,00","2 000,00","24 000,00"
"36,00","2,00","28 900,00","7,00","28 000,00","286 000,00"
"34,00","1,00","15 000,00","7,00","14 000,00","92 000,00"
"45,00","3,00","18 200,00","13,00","19 000,00","187 000,00"
"40,00","2,00","20 250,00","9,00","25 000,00","254 000,00"
"35,00","2,00","32 200,00","6,00","31 000,00","318 000,00"
"48,00","3,00","12 700,00","15,00","14 000,00","135 000,00"
"36,00","2,00","24 800,00","8,00","24 000,00","244 000,00"
"40,00","2,00","19 800,00","10,00","20 000,00","199 000,00"
"47,00","2,00","2 600,00","15,00","4 000,00","33 000,00"
"33,00","2,00","30 100,00","5,00","29 000,00","295 000,00"
"39,00","2,00","10 900,00","10,00","11 000,00","107 000,00"
"20,00","0,00","9 900,00","0,00","11 000,00","72 000,00"
"29,50","1,00","20 700,00","3,00","18 000,00","193 000,00"
"39,00","2,00","23 700,00","9,00","24 000,00","237 000,00"
"52,00","3,00","15 900,00","18,00","18 000,00","174 000,00"
"38,00","2,00","22 600,00","8,00","22 000,00","228 000,00"
"47,00","2,00","11 200,00","14,00","12 000,00","119 000,00"
"37,00","2,00","22 500,00","9,00","22 000,00","224 000,00"
"51,00","3,00","16 000,00","17,00","18 000,00","173 000,00"
"41,00","2,00","20 250,00","11,00","6 000,00","57 000,00"
